ANYESCALA,TERMINALCODI,VAIXELLBANDERACODI,ETD,VAIXELLNOM,CALAT_METRES,MANEGA_METRES,MESINFO,TERMINALNOM,ETAHORA,ETAUTC,ETADIA,ETDUTC,VAIXELLTIPUS,ETDHORA,PORTDESTICODI,MOLLCODI,MMSI,IMO,PORTORIGENCODI,ESCALAESTAT,ESLORA_METRES,PORTORIGENNOM,PORTDESTINOM,ESTOPERATIUID,MOLLMODULS,ESCALANUM,ETDDIA,ETA,VAIXELLBANDERANOM,CONSIGNATARI,CALLSIGN
2021,B,BS,2022-09-11T18:00:00Z,WONDER OF THE SEAS,93,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:311001033,ADOSSAT/TERMINAL B,04:59:00,2022-09-11T02:59:00Z,2022-09-11,2022-09-11T16:00:00Z,Passatge,18:00:00,ESPMI,01D,311001033,9838345,ITNAP,Iniciada,362,Napoli,Palma de Mallorca,I,20-27,30199-1,2022-09-11,2022-09-11T04:59:00Z,Bahames,BALEARES CONSIGNATARIOS SL,C6EY2
2022,0010,BS,2022-09-11T20:00:00Z,LYRIC MAGNOLIA,1466,44,https://www.marinetraffic.com/en/ais/details/ships/mmsi:311000360,CIA LOGISTICA DE HIDROCARBUROS SA,21:40:00,2022-09-10T19:40:00Z,2022-09-10,2022-09-11T18:00:00Z,Petroliers,20:00:00,MAJFL,24C,311000360,9734408,EGSUZ,Iniciada,2499,El Suweis (= Suez),Jorf Lasfar,I,1-6,38299-2,2022-09-11,2022-09-10T21:40:00Z,Bahames,MH BLAND SL,C6BT6
2022,2252,GA,2022-09-11T03:00:00Z,SAVER 1,877,218,https://www.marinetraffic.com/en/ais/details/ships/mmsi:626064000,RECEPTORA DE LIQUIDOS SA,12:44:00,2022-09-09T10:44:00Z,2022-09-09,2022-09-11T01:00:00Z,Tancs,03:00:00,ITVSO,32E,626064000,9140451,EGSUZ,Iniciada,13862,El Suweis (= Suez),Vasto,I,1,38363-1,2022-09-11,2022-09-09T12:44:00Z,Gabon,IBERICA MARITIMA BARCELONA SA,TRAK5
2022,2256,PA,2022-09-11T18:00:00Z,MEDI SYDNEY,1443,3226,https://www.marinetraffic.com/en/ais/details/ships/mmsi:374748000,ERGRANSA SA,09:18:00,2022-09-05T07:18:00Z,2022-09-05,2022-09-11T16:00:00Z,Granelers,18:00:00,BRSTM,22B,374748000,9755816,MAPTM,Iniciada,22899,Tanger Med,Santarem,I,1-5,38190-1,2022-09-11,2022-09-05T09:18:00Z,Panamà,ALFASHIP MARITIME SERVICES SL,H3HJ
2022,2398,CY,2022-09-11T22:15:00Z,HYPATIA DE ALEJANDRIA,679,256,https://www.marinetraffic.com/en/ais/details/ships/mmsi:209462000,TERMINAL PORT NOU SA,20:00:00,2022-09-11T18:00:00Z,2022-09-11,2022-09-11T20:15:00Z,Transbordadors,22:15:00,ESPMI,01D,209462000,9498755,ESQIU,Autoritzada,18646,Ciudadela,Palma de Mallorca,A,1-4,38334-1,2022-09-11,2022-09-11T20:00:00Z,Xipre,BALEARIA EUROLINEAS MARITIMAS SA,5BDE5
2022,2398,ES,2022-09-11T21:45:00Z,ABEL MATUTES,63,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:224402000,TERMINAL PORT NOU SA,19:24:00,2022-09-10T17:24:00Z,2022-09-10,2022-09-11T19:45:00Z,Transbordadors,21:45:00,ESALD,00A,224402000,9441130,ESALD,Iniciada,190,Alcudia,Alcudia,I,6-10,38326-1,2022-09-11,2022-09-10T19:24:00Z,Espanya,BALEARIA EUROLINEAS MARITIMAS SA,ECPD
2022,2398,TN,2022-09-11T15:00:00Z,CONMAR FJORD,698,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:672000030,TERMINAL PORT NOU SA,05:53:00,2022-09-11T03:53:00Z,2022-09-11,2022-09-11T13:00:00Z,Portacontenidors,15:00:00,LYMRA,00A,672000030,9244192,ESCAS,Iniciada,1326,Castellon de la Plana,Misurata,I,3-5,37602-1,2022-09-11,2022-09-11T05:53:00Z,Tunísia,BERGE MARITIMA SL,TSNF
2022,6037,LR,2022-09-11T12:00:00Z,DIDIMON,1052,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:636014337,DECAL ESPAÑA SA,12:00:00,2022-09-09T10:00:00Z,2022-09-09,2022-09-11T10:00:00Z,Tancs,12:00:00,ZZZZZ,34B,636014337,9288772,ESTAR,Sol·licitada,17597,Tarragona,Desconegut,S,NA,38248-1,2022-09-11,2022-09-09T12:00:00Z,Libèria,ALFASHIP MARITIME SERVICES SL,A8TE7
2022,6154,MH,2022-09-11T23:00:00Z,MORNING CAPO,1002,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:538005232,AUTOTERMINAL SA,04:00:00,2022-09-11T02:00:00Z,2022-09-11,2022-09-11T21:00:00Z,Car-carrier,23:00:00,JOAQB,30C,538005232,9663295,GBSOU,Autoritzada,19998,Southampton,Aqaba Free Zone,A,1-5,37769-1,2022-09-11,2022-09-11T04:00:00Z,Illes Marshall,BERGE MARITIMA SL,V7CB4
2022,6154,MT,2022-09-11T14:00:00Z,NEPTUNE AEGLI,64,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:215170000,AUTOTERMINAL SA,04:04:00,2022-09-11T02:04:00Z,2022-09-11,2022-09-11T12:00:00Z,Car-carrier,14:00:00,FRFOS,31A,215170000,9240964,MAPTM,Iniciada,158,Tanger Med,Fos-sur-Mer,I,3-6,38484-1,2022-09-11,2022-09-11T04:04:00Z,Malta,NEPTUNE BARCELONA SA,9HEX7
