ANYESCALA,TERMINALCODI,VAIXELLBANDERACODI,ETD,VAIXELLNOM,CALAT_METRES,MANEGA_METRES,MESINFO,TERMINALNOM,ETAHORA,ETAUTC,ETADIA,ETDUTC,VAIXELLTIPUS,ETDHORA,PORTDESTICODI,MOLLCODI,MMSI,IMO,PORTORIGENCODI,ESCALAESTAT,ESLORA_METRES,PORTORIGENNOM,PORTDESTINOM,ESTOPERATIUID,MOLLMODULS,ESCALANUM,ETDDIA,ETA,VAIXELLBANDERANOM,CONSIGNATARI,CALLSIGN
2021,A,GB,2022-08-29T18:00:00Z,BRITANNIA,855,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:235106595,ADOSSAT/TERMINAL A,06:58:00,2022-08-29T04:58:00Z,2022-08-29,2022-08-29T16:00:00Z,Passatge,18:00:00,ESALC,01D,235106595,9614036,FRTLN,Iniciada,330,Toulon,Alicante,I,31-37,31099-1,2022-08-29,2022-08-29T06:58:00Z,Regne Unit,MARITIMA DEL MEDITERRANEO SA,2HHG5
2021,D,BM,2022-08-29T23:00:00Z,QUEEN ELIZABETH,79,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:310625000,ADOSSAT/TERMINAL D,06:37:00,2022-08-29T04:37:00Z,2022-08-29,2022-08-29T21:00:00Z,Passatge,23:00:00,FRCEQ,01D,310625000,9477438,ESPMI,Iniciada,294,Palma de Mallorca,Cannes,I,10-16,31100-1,2022-08-29,2022-08-29T06:37:00Z,Bermuda,MARITIMA DEL MEDITERRANEO SA,ZCEF2
2022,0014,LV,2022-08-29T16:00:00Z,MOONRAY,37,114,https://www.marinetraffic.com/en/ais/details/ships/mmsi:275488000,COMA Y RIBAS SL,07:53:00,2022-08-27T05:53:00Z,2022-08-27,2022-08-29T14:00:00Z,Càrrega (Lo-Lo),16:00:00,ESALD,23A,275488000,9234410,ESALD,Iniciada,88,Alcudia,Alcudia,I,1-2,38061-1,2022-08-29,2022-08-27T07:53:00Z,Letònia,TRANSITAINER SA,YLOU
2022,2398,CY,2022-08-29T22:15:00Z,HYPATIA DE ALEJANDRIA,679,256,https://www.marinetraffic.com/en/ais/details/ships/mmsi:209462000,TERMINAL PORT NOU SA,19:00:00,2022-08-29T17:00:00Z,2022-08-29,2022-08-29T20:15:00Z,Transbordadors,22:15:00,ESPMI,01D,209462000,9498755,ESALD,Autoritzada,18646,Alcudia,Palma de Mallorca,A,1-4,37837-1,2022-08-29,2022-08-29T19:00:00Z,Xipre,BALEARIA EUROLINEAS MARITIMAS SA,5BDE5
2022,2398,ES,2022-08-29T21:45:00Z,ABEL MATUTES,63,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:224402000,TERMINAL PORT NOU SA,19:30:00,2022-08-29T17:30:00Z,2022-08-29,2022-08-29T19:45:00Z,Transbordadors,21:45:00,ESALD,00A,224402000,9441130,ESPMI,Autoritzada,190,Palma de Mallorca,Alcudia,A,6-10,37829-1,2022-08-29,2022-08-29T19:30:00Z,Espanya,BALEARIA EUROLINEAS MARITIMAS SA,ECPD
2022,2398,IT,2022-08-29T21:00:00Z,JOLLY QUARZO,105,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:247322900,TERMINAL PORT NOU SA,23:31:00,2022-08-28T21:31:00Z,2022-08-28,2022-08-29T19:00:00Z,Ro-Ro,21:00:00,FRMRS,00A,247322900,9578983,ESCAS,Iniciada,239,Castellon de la Plana,Marseille,I,5-10,37308-1,2022-08-29,2022-08-28T23:31:00Z,Itàlia,BERGE MARITIMA SL,ICQQ
2022,6037,IT,2022-08-29T00:00:00Z,LEALE,738,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:247238700,DECAL ESPAÑA SA,06:51:00,2022-08-28T04:51:00Z,2022-08-28,2022-08-28T22:00:00Z,Tancs,00:00:00,FRNOU,32A,247238700,9404637,FRBIA,Iniciada,1124,Bastia,Port-la-Nouvelle,I,1,38057-1,2022-08-29,2022-08-28T06:51:00Z,Itàlia,MH BLAND SL,ICIQ
2022,6037,LR,2022-08-29T08:00:00Z,CONTI BENGUELA,1132,274,https://www.marinetraffic.com/en/ais/details/ships/mmsi:636091569,DECAL ESPAÑA SA,10:09:00,2022-08-28T08:09:00Z,2022-08-28,2022-08-29T06:00:00Z,Tancs,08:00:00,ZZZZZ,32A,636091569,9391373,ESTAR,Iniciada,18432,Tarragona,Desconegut,I,1,37922-1,2022-08-29,2022-08-28T10:09:00Z,Libèria,ALFASHIP MARITIME SERVICES SL,A8PL7
2022,6154,MT,2022-08-29T21:00:00Z,NEPTUNE HORIZON,87,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:256488000,AUTOTERMINAL SA,10:41:00,2022-08-26T08:41:00Z,2022-08-26,2022-08-29T19:00:00Z,Car-carrier,21:00:00,EGALY,31A,256488000,9451721,FRFOS,Iniciada,16806,Fos-sur-Mer,El Iskandariya (= Alexandria),I,2-6,37947-1,2022-08-29,2022-08-26T10:41:00Z,Malta,NEPTUNE BARCELONA SA,9HA3929
2022,6212,CY,2022-08-29T06:59:00Z,RS LISA,747,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:210163000,TERMINAL CATALUNYA SA,20:04:00,2022-08-28T18:04:00Z,2022-08-28,2022-08-29T04:59:00Z,Portacontenidors,06:59:00,ITSPE,36A,210163000,9287704,ITSPE,Iniciada,1375,La Spezia,La Spezia,I,26-29,37842-1,2022-08-29,2022-08-28T20:04:00Z,Xipre,MARITIMA DEL MEDITERRANEO SA,5BSJ5
2022,6212,FR,2022-08-29T00:00:00Z,CMA CGM PATAGONIA,16,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:228409800,TERMINAL CATALUNYA SA,00:00:00,2022-08-27T22:00:00Z,2022-08-28,2022-08-28T22:00:00Z,Portacontenidors,00:00:00,ESVLC,36A,228409800,9894961,FRFOS,Sol·licitada,366,Fos-sur-Mer,Valencia,S,NA,36429-1,2022-08-29,2022-08-28T00:00:00Z,França,CMA CGM IBERICA SAU,FMPQ
2022,6212,LR,2022-08-29T14:45:00Z,MSC SIGMA F,851,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:636021079,TERMINAL CATALUNYA SA,03:00:00,2022-08-29T01:00:00Z,2022-08-29,2022-08-29T12:45:00Z,Portacontenidors,14:45:00,DZALG,36A,636021079,9330240,FRFOS,Sol·licitada,148,Fos-sur-Mer,Alger (Algiers),S,22-25,37850-1,2022-08-29,2022-08-29T03:00:00Z,Libèria,MEDITERRANEAN SHIPPING COM ESPAÑA SLU,5LCE2
2022,6212,PA,2022-08-29T20:00:00Z,MSC PILAR,1352,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:371853000,TERMINAL CATALUNYA SA,06:00:00,2022-08-29T04:00:00Z,2022-08-29,2022-08-29T18:00:00Z,Portacontenidors,20:00:00,GRPIR,36A,371853000,8715871,ESVLC,Sol·licitada,294,Valencia,Piraeus,S,NA,37707-1,2022-08-29,2022-08-29T06:00:00Z,Panamà,MEDITERRANEAN SHIPPING COM ESPAÑA SLU,H3XG
2022,6212,PT,2022-08-29T08:00:00Z,MSC NEW HAVEN,1452,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:538007675,TERMINAL CATALUNYA SA,09:17:00,2022-08-28T07:17:00Z,2022-08-28,2022-08-29T06:00:00Z,Portacontenidors,08:00:00,ITGOA,36A,538007675,9293777,ESVLC,Iniciada,334,Valencia,Genoa,I,13-19,37797-1,2022-08-29,2022-08-28T09:17:00Z,Portugal,MEDITERRANEAN SHIPPING COM ESPAÑA SLU,V7PT5
2022,6212,PT,2022-08-29T20:00:00Z,GEESKE,851,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:255806055,TERMINAL CATALUNYA SA,12:00:00,2022-08-29T10:00:00Z,2022-08-29,2022-08-29T18:00:00Z,Portacontenidors,20:00:00,DZALG,36A,255806055,9301562,MAPTM,Sol·licitada,1478,Tanger Med,Alger (Algiers),S,NA,37930-1,2022-08-29,2022-08-29T12:00:00Z,Portugal,MARITIMA DEL MEDITERRANEO SA,CQIS5
2022,6212,SG,2022-08-29T05:37:00Z,ATLANTIC EXPRESS,851,NA,NA,TERMINAL CATALUNYA SA,20:59:00,2022-08-28T18:59:00Z,2022-08-28,2022-08-29T03:37:00Z,Portacontenidors,05:37:00,MACAS,36A,NA,9330850,FRMRS,Finalitzada,14787,Marseille,Casablanca,F,22-25,37472-1,2022-08-29,2022-08-28T20:59:00Z,Singapur,CMA CGM IBERICA SAU,9V8095
