ANYESCALA,TERMINALCODI,VAIXELLBANDERACODI,ETD,VAIXELLNOM,CALAT_METRES,MANEGA_METRES,MESINFO,TERMINALNOM,ETAHORA,ETAUTC,ETADIA,ETDUTC,VAIXELLTIPUS,ETDHORA,PORTDESTICODI,MOLLCODI,MMSI,IMO,PORTORIGENCODI,ESCALAESTAT,ESLORA_METRES,PORTORIGENNOM,PORTDESTINOM,ESTOPERATIUID,MOLLMODULS,ESCALANUM,ETDDIA,ETA,VAIXELLBANDERANOM,CONSIGNATARI,CALLSIGN
2022,0050,GB,2022-09-13T20:00:00Z,CELTIC FORTUNE,618,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:232032365,TRAFICO DE MERCANCIAS SA,05:00:00,2022-09-13T03:00:00Z,2022-09-13,2022-09-13T18:00:00Z,Càrrega (Lo-Lo),20:00:00,PTAVE,26A,232032365,9353711,ESCAS,Autoritzada,8999,Castellon de la Plana,Aveiro,A,19-20,38514-1,2022-09-13,2022-09-13T05:00:00Z,Regne Unit,ERSHIP SA,MIMX2
2022,0050,GB,2022-09-13T20:00:00Z,CELTIC FORTUNE,618,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:232032365,TRAFICO DE MERCANCIAS SA,06:00:00,2022-09-13T04:00:00Z,2022-09-13,2022-09-13T18:00:00Z,Càrrega (Lo-Lo),20:00:00,PTAVE,26A,232032365,9353711,ESCAS,Sol·licitada,8999,Castellon de la Plana,Aveiro,S,NA,38517-1,2022-09-13,2022-09-13T06:00:00Z,Regne Unit,ERSHIP SA,MIMX2
2022,2398,CY,2022-09-13T22:15:00Z,KERRY,653,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:210772000,TERMINAL PORT NOU SA,19:30:00,2022-09-13T17:30:00Z,2022-09-13,2022-09-13T20:15:00Z,Transbordadors,22:15:00,ESALD,30A,210772000,9243447,ESPMI,Autoritzada,1865,Palma de Mallorca,Alcudia,A,3-7,38501-1,2022-09-13,2022-09-13T19:30:00Z,Xipre,BALEARIA EUROLINEAS MARITIMAS SA,5BZF3
2022,2398,ES,2022-09-13T21:45:00Z,ABEL MATUTES,63,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:224402000,TERMINAL PORT NOU SA,19:00:00,2022-09-13T17:00:00Z,2022-09-13,2022-09-13T19:45:00Z,Transbordadors,21:45:00,ESALD,01D,224402000,9441130,ESALD,Autoritzada,190,Alcudia,Alcudia,A,1-4,38491-1,2022-09-13,2022-09-13T19:00:00Z,Espanya,BALEARIA EUROLINEAS MARITIMAS SA,ECPD
2022,2398,IT,2022-09-13T22:00:00Z,JOLLY COBALTO,115,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:247335700,TERMINAL PORT NOU SA,00:25:00,2022-09-12T22:25:00Z,2022-09-13,2022-09-13T20:00:00Z,Ro-Ro,22:00:00,FRMRS,00A,247335700,9668960,ESCAS,Iniciada,240,Castellon de la Plana,Marseille,I,5-10,37598-1,2022-09-13,2022-09-13T00:25:00Z,Itàlia,BERGE MARITIMA SL,IBHH
2022,6154,BS,2022-09-13T14:00:00Z,SUNRISE ACE,98,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:311013600,AUTOTERMINAL SA,05:58:00,2022-09-13T03:58:00Z,2022-09-13,2022-09-13T12:00:00Z,Ro-Ro,14:00:00,BEANR,30C,311013600,9338840,SGSIN,Iniciada,19995,Singapore,Anvers,I,1-5,37518-1,2022-09-13,2022-09-13T05:58:00Z,Bahames,TRANSPORTES CONSIGNACION MARITIMAS SA,C6XL9
2022,6154,BS,2022-09-13T20:00:00Z,DIGNITY ACE,10,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:311002900,AUTOTERMINAL SA,08:00:00,2022-09-13T06:00:00Z,2022-09-13,2022-09-13T18:00:00Z,Car-carrier,20:00:00,ITGOA,30C,311002900,9441506,BEZEE,Sol·licitada,19995,Zeebrugge,Genoa,S,NA,38393-1,2022-09-13,2022-09-13T08:00:00Z,Bahames,COSCO SHIPPING LINES SPAIN SA,C6WY6
2022,6154,MH,2022-09-13T16:30:00Z,NEPTUNE AVRA,662,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:538009923,AUTOTERMINAL SA,03:00:00,2022-09-13T01:00:00Z,2022-09-13,2022-09-13T14:30:00Z,Car-carrier,16:30:00,MAPTM,31A,538009923,8807155,ITLIV,Sol·licitada,155,Livorno,Tanger Med,S,NA,38138-1,2022-09-13,2022-09-13T03:00:00Z,Illes Marshall,NEPTUNE BARCELONA SA,V7A5346
2022,6212,LR,2022-09-14T00:30:00Z,CONTSHIP MAX,88,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:636017374,TERMINAL CATALUNYA SA,12:00:00,2022-09-13T10:00:00Z,2022-09-13,2022-09-13T22:30:00Z,Portacontenidors,00:30:00,DZSKI,36A,636017374,9347786,ESVLC,Confirmada,139,Valencia,Skikda (ex Philippeville),C,NA,38182-1,2022-09-14,2022-09-13T12:00:00Z,Libèria,MEDITERRANEAN SHIPPING COM ESPAÑA SLU,D5EL7
2022,6693,MH,2022-09-14T14:00:00Z,SCOT FLENSBURG,743,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:538009892,BUNGE IBERICA SA,12:00:00,2022-09-13T10:00:00Z,2022-09-13,2022-09-14T12:00:00Z,Tancs,14:00:00,EGDAM,23A,538009892,9365269,DZORN,Autoritzada,1169,Oran,Damietta,A,1-3,38477-1,2022-09-14,2022-09-13T12:00:00Z,Illes Marshall,ALFASHIP MARITIME SERVICES SL,V7A5305
2022,6995,MT,2022-09-14T13:00:00Z,EMEK-S,676,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:249475000,MEROIL SA,13:00:00,2022-09-13T11:00:00Z,2022-09-13,2022-09-14T11:00:00Z,Tancs,13:00:00,ESCAR,32F,249475000,9433561,ESALG,Autoritzada,1196,Algeciras,Cartagena,A,1,38490-1,2022-09-14,2022-09-13T13:00:00Z,Malta,ALFASHIP MARITIME SERVICES SL,9HTA9
2022,7083,MH,2022-09-14T00:00:00Z,SALAHUDDIN,1552,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:538005840,APM TERMINALS BARCELONA  S L U,00:00:00,2022-09-12T22:00:00Z,2022-09-13,2022-09-13T22:00:00Z,Portacontenidors,00:00:00,GRPIR,24X,538005840,9708796,FRFOS,Fondeig Previ,369,Fos-sur-Mer,Piraeus,P,NA,37865-1,2022-09-14,2022-09-13T00:00:00Z,Illes Marshall,HAPAG LLOYD SPAIN SL,V7HL5
2022,7083,PT,2022-09-14T06:00:00Z,ANNAMARIE,746,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:255805627,APM TERMINALS BARCELONA  S L U,12:00:00,2022-09-13T10:00:00Z,2022-09-13,2022-09-14T04:00:00Z,Portacontenidors,06:00:00,ESVLC,24A,255805627,9287687,ESVLC,Autoritzada,1375,Valencia,Valencia,A,2-4,38320-1,2022-09-14,2022-09-13T12:00:00Z,Portugal,A PEREZ Y CIA SL,CQFZ
2022,7259,DK,2022-09-14T04:00:00Z,ENDELO SWAN,604,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:219426000,TERMINALES PORTUARIAS SL,05:15:00,2022-09-13T03:15:00Z,2022-09-13,2022-09-14T02:00:00Z,Tancs,04:00:00,ITGOA,32D,219426000,9371725,ESTAR,Iniciada,999,Tarragona,Genoa,I,1,38446-1,2022-09-14,2022-09-13T05:15:00Z,Dinamarca,ALFASHIP MARITIME SERVICES SL,OUYR2
2022,7259,MT,2022-09-14T23:00:00Z,MED CANARY,724,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:215498000,TERMINALES PORTUARIAS SL,23:00:00,2022-09-13T21:00:00Z,2022-09-13,2022-09-14T21:00:00Z,Tancs,23:00:00,ESTAR,32A,215498000,9544358,ESBCN,Autoritzada,12325,Barcelona,Tarragona,A,1,38527-1,2022-09-14,2022-09-13T23:00:00Z,Malta,NEXT MARITIME SL,9HA5143
2022,7332,ES,2022-09-13T22:01:00Z,MARTIN I SOLER,57,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:224637000,BALEARIA EUROLINEAS MARITIMAS SA,19:00:00,2022-09-13T17:00:00Z,2022-09-13,2022-09-13T20:01:00Z,Transbordadors,22:01:00,ESIBZ,18A,224637000,9390367,ESIBZ,Autoritzada,165,Ibiza,Ibiza,A,1-4,38453-1,2022-09-13,2022-09-13T19:00:00Z,Espanya,BALEARIA EUROLINEAS MARITIMAS SA,EBZT
2022,7793,CY,2022-09-13T21:30:00Z,GOLDEN BRIDGE,69,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:209410000,TERMINAL FERRY DE BARCELONA SRLU,18:40:00,2022-09-13T16:40:00Z,2022-09-13,2022-09-13T19:30:00Z,Transbordadors,21:30:00,ESIBZ,19B,209410000,8902345,ESMAH,Autoritzada,187,Mahon Menorca,Ibiza,A,1-4,38419-1,2022-09-13,2022-09-13T18:40:00Z,Xipre,E ERHARDT Y CIA SA,5BCJ5
2022,7793,ES,2022-09-13T21:30:00Z,CIUDAD DE BARCELONA,67,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:225416000,TERMINAL FERRY DE BARCELONA SRLU,19:00:00,2022-09-13T17:00:00Z,2022-09-13,2022-09-13T19:30:00Z,Transbordadors,21:30:00,ESALD,18C,225416000,9506289,ESALD,Autoritzada,176,Alcudia,Alcudia,A,6-9,38156-1,2022-09-13,2022-09-13T19:00:00Z,Espanya,GRIMALDI LOGISTICA ESPAÑA SL,EAIE
2022,7793,ES,2022-09-13T22:30:00Z,CIUDAD DE MAHON,55,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:224692000,TERMINAL FERRY DE BARCELONA SRLU,19:30:00,2022-09-13T17:30:00Z,2022-09-13,2022-09-13T20:30:00Z,Transbordadors,22:30:00,ESIBZ,20D,224692000,9398890,ESIBZ,Autoritzada,155,Ibiza,Ibiza,A,1-4,38405-1,2022-09-13,2022-09-13T19:30:00Z,Espanya,GRIMALDI LOGISTICA ESPAÑA SL,ECNO
2022,7793,ES,2022-09-13T22:45:00Z,CIUDAD DE PALMA,671,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:225307000,TERMINAL FERRY DE BARCELONA SRLU,19:00:00,2022-09-13T17:00:00Z,2022-09-13,2022-09-13T20:45:00Z,Transbordadors,22:45:00,ESPMI,19A,225307000,9349772,ESPMI,Autoritzada,186,Palma de Mallorca,Palma de Mallorca,A,2-5,38141-1,2022-09-13,2022-09-13T19:00:00Z,Espanya,GRIMALDI LOGISTICA ESPAÑA SL,EAMS
2022,7793,IT,2022-09-13T23:40:00Z,GNV SPIRIT,69,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:247438100,TERMINAL FERRY DE BARCELONA SRLU,17:00:00,2022-09-13T15:00:00Z,2022-09-13,2022-09-13T21:40:00Z,Transbordadors,23:40:00,ESPMI,20A,247438100,9198927,ESPMI,Autoritzada,204,Palma de Mallorca,Palma de Mallorca,A,1-5,38418-1,2022-09-13,2022-09-13T17:00:00Z,Itàlia,E ERHARDT Y CIA SA,IBIK
2022,7793,IT,2022-09-14T03:00:00Z,FANTASTIC,682,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:247094000,TERMINAL FERRY DE BARCELONA SRLU,23:59:00,2022-09-13T21:59:00Z,2022-09-13,2022-09-14T01:00:00Z,Transbordadors,03:00:00,MAPTM,19A,247094000,9100267,ITGOA,Autoritzada,18815,Genoa,Tanger Med,A,2-5,38416-1,2022-09-14,2022-09-13T23:59:00Z,Itàlia,E ERHARDT Y CIA SA,IBDF
2022,8156,IT,2022-09-13T14:00:00Z,ECO SAVONA,72,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:247383600,GRIMALDI TERMINAL BARCELONA SL,06:53:00,2022-09-13T04:53:00Z,2022-09-13,2022-09-13T12:00:00Z,Ro-Ro,14:00:00,ITLIV,20D,247383600,9859569,ESVLC,Iniciada,238,Valencia,Livorno,I,2-6,38502-1,2022-09-13,2022-09-13T06:53:00Z,Itàlia,GRIMALDI LOGISTICA ESPAÑA SL,IBZM
2022,8156,IT,2022-09-13T22:15:00Z,CRUISE BARCELONA,7,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:247243600,GRIMALDI TERMINAL BARCELONA SL,18:30:00,2022-09-13T16:30:00Z,2022-09-13,2022-09-13T20:15:00Z,Transbordadors,22:15:00,ITCVV,21A,247243600,9351488,ITPTO,Autoritzada,2538,Porto Torres,Civitavecchia,A,4-8,37563-1,2022-09-13,2022-09-13T18:30:00Z,Itàlia,GRIMALDI LOGISTICA ESPAÑA SL,IBWP
2022,B,PA,2022-09-13T18:00:00Z,MSC OPERA,68,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:357627000,ADOSSAT/TERMINAL B,06:30:00,2022-09-13T04:30:00Z,2022-09-13,2022-09-13T16:00:00Z,Passatge,18:00:00,TNLGN,01D,357627000,9250464,FRMRS,Autoritzada,2749,Marseille,La Goulette Nord (Halqueloued),A,24-29,33687-1,2022-09-13,2022-09-13T06:30:00Z,Panamà,MEDITERRANEAN SHIPPING COM ESPAÑA SLU,H3FV
2022,S,GB,2022-09-13T17:00:00Z,SPIRIT OF DISCOVERY,73,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:232021171,BARCELONA/TERMINAL SUD,07:00:00,2022-09-13T05:00:00Z,2022-09-13,2022-09-13T15:00:00Z,Passatge,17:00:00,ITSAL,18C,232021171,9802683,ESAGP,Autoritzada,236,Malaga,Salerno,A,1-5,35086-1,2022-09-13,2022-09-13T07:00:00Z,Regne Unit,A PEREZ Y CIA SL,MEYE7
2022,NA,IT,2022-09-13T23:30:00Z,MAJESTIC,669,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:247142000,NA,23:00:00,2022-09-13T21:00:00Z,2022-09-13,2022-09-13T21:30:00Z,Transbordadors,23:30:00,FRSET,90A,247142000,9015735,MAPTM,Autoritzada,188,Tanger Med,Sete,A,NA,38417-1,2022-09-13,2022-09-13T23:00:00Z,Itàlia,E ERHARDT Y CIA SA,IBAM
