ANYESCALA,TERMINALCODI,VAIXELLBANDERACODI,ETD,VAIXELLNOM,CALAT_METRES,MANEGA_METRES,MESINFO,TERMINALNOM,ETAHORA,ETAUTC,ETADIA,ETDUTC,VAIXELLTIPUS,ETDHORA,PORTDESTICODI,MOLLCODI,MMSI,IMO,PORTORIGENCODI,ESCALAESTAT,ESLORA_METRES,PORTORIGENNOM,PORTDESTINOM,ESTOPERATIUID,MOLLMODULS,ESCALANUM,ETDDIA,ETA,VAIXELLBANDERANOM,CONSIGNATARI,CALLSIGN
2021,B,BS,2022-10-01T17:00:00Z,VISION OF THE SEAS,79,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:311321000,ADOSSAT/TERMINAL B,05:50:00,2022-10-01T03:50:00Z,2022-10-01,2022-10-01T15:00:00Z,Passatge,17:00:00,FRNCE,01D,311321000,9116876,ESVLC,Iniciada,279,Valencia,Nice,I,24-29,29490-1,2022-10-01,2022-10-01T05:50:00Z,Bahames,BALEARES CONSIGNATARIOS SL,C6SE8
2021,D,GB,2022-10-01T21:00:00Z,IONA,88,42,https://www.marinetraffic.com/en/ais/details/ships/mmsi:232025845,ADOSSAT/TERMINAL D,07:00:00,2022-10-01T05:00:00Z,2022-10-01,2022-10-01T19:00:00Z,Passatge,21:00:00,ESVLC,01D,232025845,9826548,ESALC,Autoritzada,3445,Alicante,Valencia,A,9-16,31110-1,2022-10-01,2022-10-01T07:00:00Z,Regne Unit,MARITIMA DEL MEDITERRANEO SA,MGPC4
2022,2398,DZ,2022-10-01T19:59:00Z,TAMANRASSET,95,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:605086020,TERMINAL PORT NOU SA,14:00:00,2022-10-01T12:00:00Z,2022-10-01,2022-10-01T17:59:00Z,Portacontenidors,19:59:00,ITMDC,00A,605086020,9760615,ESVLC,Autoritzada,16995,Valencia,Marina di Carrara,A,2-5,37685-1,2022-10-01,2022-10-01T14:00:00Z,Algèria,TRANSPORTES CONSIGNACION MARITIMAS SA,7THQ
2022,2398,TR,2022-10-01T20:00:00Z,AKHISAR,75,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:271000653,TERMINAL PORT NOU SA,10:00:00,2022-10-01T08:00:00Z,2022-10-01,2022-10-01T18:00:00Z,Portacontenidors,20:00:00,MACAS,00A,271000653,9237149,ESCAS,Autoritzada,1184,Castellon de la Plana,Casablanca,A,6-9,38175-1,2022-10-01,2022-10-01T10:00:00Z,Turquia,BERGE MARITIMA SL,TCRB
2022,6212,CY,2022-10-01T20:00:00Z,RS LISA,747,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:210163000,TERMINAL CATALUNYA SA,06:00:00,2022-10-01T04:00:00Z,2022-10-01,2022-10-01T18:00:00Z,Portacontenidors,20:00:00,ITSPE,36A,210163000,9287704,ITSPE,Autoritzada,1375,La Spezia,La Spezia,A,22-25,38399-1,2022-10-01,2022-10-01T06:00:00Z,Xipre,MARITIMA DEL MEDITERRANEO SA,5BSJ5
2022,6212,MT,2022-10-01T14:00:00Z,CMA CGM SCANDOLA,16,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:215839000,TERMINAL CATALUNYA SA,00:56:00,2022-09-29T22:56:00Z,2022-09-30,2022-10-01T12:00:00Z,Portacontenidors,14:00:00,FRFOS,36A,215839000,9859129,ESVLC,Iniciada,366,Valencia,Fos-sur-Mer,I,5-12,37041-1,2022-10-01,2022-09-30T00:56:00Z,Malta,CMA CGM IBERICA SAU,9HA5325
2022,6212,PA,2022-10-01T05:30:00Z,MSC RACHELE,145,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:354712000,TERMINAL CATALUNYA SA,07:18:00,2022-09-30T05:18:00Z,2022-09-30,2022-10-01T03:30:00Z,Portacontenidors,05:30:00,ESVLC,36A,354712000,9290282,SAKAC,Iniciada,334,King Abdullah City,Valencia,I,13-20,38487-1,2022-10-01,2022-09-30T07:18:00Z,Panamà,MEDITERRANEAN SHIPPING COM ESPAÑA SLU,3EAO2
2022,6212,PT,2022-10-01T00:11:00Z,JONA SOPHIE,919,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:255805601,TERMINAL CATALUNYA SA,12:34:00,2022-09-30T10:34:00Z,2022-09-30,2022-09-30T22:11:00Z,Portacontenidors,00:11:00,ESSAG,36A,255805601,9144718,ESSAG,Finalitzada,139,Sagunto,Sagunto,F,27-29,38000-3,2022-10-01,2022-09-30T12:34:00Z,Portugal,SOLUCIONES INTEGRALES MARITIMAS SLU,CQHZ
2022,6212,PT,2022-10-01T04:02:00Z,WEC CORNEILLE,871,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:255805802,TERMINAL CATALUNYA SA,08:32:00,2022-09-30T06:32:00Z,2022-09-30,2022-10-01T02:02:00Z,Portacontenidors,04:02:00,ESVLC,36A,255805802,9326940,ESTAR,Finalitzada,13444,Tarragona,Valencia,F,22-25,38873-1,2022-10-01,2022-09-30T08:32:00Z,Portugal,WEC LINES ESPAÑA SLU,CQDZ
2022,6212,PT,2022-10-01T14:00:00Z,CONESTE,871,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:255801940,TERMINAL CATALUNYA SA,04:00:00,2022-10-01T02:00:00Z,2022-10-01,2022-10-01T12:00:00Z,Portacontenidors,14:00:00,ESVLC,36A,255801940,9252802,FRMRS,Autoritzada,13444,Marseille,Valencia,A,26-29,38657-1,2022-10-01,2022-10-01T04:00:00Z,Portugal,CMA CGM IBERICA SAU,CQOE
