ANYESCALA,TERMINALCODI,VAIXELLBANDERACODI,ETD,VAIXELLNOM,CALAT_METRES,MANEGA_METRES,MESINFO,TERMINALNOM,ETAHORA,ETAUTC,ETADIA,ETDUTC,VAIXELLTIPUS,ETDHORA,PORTDESTICODI,MOLLCODI,MMSI,IMO,PORTORIGENCODI,ESCALAESTAT,ESLORA_METRES,PORTORIGENNOM,PORTDESTINOM,ESTOPERATIUID,MOLLMODULS,ESCALANUM,ETDDIA,ETA,VAIXELLBANDERANOM,CONSIGNATARI,CALLSIGN
2021,18B,MT,2022-10-12T19:00:00Z,CLIO,3,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:249596000,BARCELONA EST/BARCELONA EST,07:34:00,2022-10-11T05:34:00Z,2022-10-11,2022-10-12T17:00:00Z,Passatge,19:00:00,ITATX,18B,249596000,9159830,ESVLC,Iniciada,100,Valencia,Arbatax,I,1-3,31125-1,2022-10-12,2022-10-11T07:34:00Z,Malta,MARITIMA DEL MEDITERRANEO SA,9HA4306
2021,B,MT,2022-10-12T17:00:00Z,CELEBRITY BEYOND,823,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:215808000,ADOSSAT/TERMINAL B,06:12:00,2022-10-12T04:12:00Z,2022-10-12,2022-10-12T15:00:00Z,Passatge,17:00:00,ESAGP,01D,215808000,9838395,ESVLC,Iniciada,3265,Valencia,Malaga,I,24-30,30230-1,2022-10-12,2022-10-12T06:12:00Z,Malta,BALEARES CONSIGNATARIOS SL,9HA5296
2022,0010,CY,2022-10-12T18:00:00Z,APATYTH,917,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:209763000,CIA LOGISTICA DE HIDROCARBUROS SA,21:01:00,2022-10-11T19:01:00Z,2022-10-11,2022-10-12T16:00:00Z,Tancs,18:00:00,ESBIO,24C,209763000,9247388,ESALG,Iniciada,16757,Algeciras,Bilbao,I,2-5,39212-1,2022-10-12,2022-10-11T21:01:00Z,Xipre,TRANSPORTES CONSIGNACION MARITIMAS SA,5BJC4
2022,2398,CY,2022-10-12T22:15:00Z,HYPATIA DE ALEJANDRIA,679,256,https://www.marinetraffic.com/en/ais/details/ships/mmsi:209462000,TERMINAL PORT NOU SA,18:00:00,2022-10-12T16:00:00Z,2022-10-12,2022-10-12T20:15:00Z,Transbordadors,22:15:00,ESPMI,01D,209462000,9498755,ESPMI,Autoritzada,18646,Palma de Mallorca,Palma de Mallorca,A,1-4,38927-1,2022-10-12,2022-10-12T18:00:00Z,Xipre,BALEARIA EUROLINEAS MARITIMAS SA,5BDE5
2022,2398,MT,2022-10-12T22:01:00Z,BAHAMA MAMA,55,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:248218000,TERMINAL PORT NOU SA,19:00:00,2022-10-12T17:00:00Z,2022-10-12,2022-10-12T20:01:00Z,Transbordadors,22:01:00,ESIBZ,00A,248218000,9441142,ESIBZ,Autoritzada,15451,Ibiza,Ibiza,A,7-10,39103-1,2022-10-12,2022-10-12T19:00:00Z,Malta,BALEARIA EUROLINEAS MARITIMAS SA,9HA2263
2022,2398,TR,2022-10-12T15:00:00Z,AKHISAR,75,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:271000653,TERMINAL PORT NOU SA,00:31:00,2022-10-11T22:31:00Z,2022-10-12,2022-10-12T13:00:00Z,Portacontenidors,15:00:00,ESCAS,00A,271000653,9237149,MACAS,Iniciada,1184,Casablanca,Castellon de la Plana,I,3-5,38666-1,2022-10-12,2022-10-12T00:31:00Z,Turquia,BERGE MARITIMA SL,TCRB
2022,6212,LR,2022-10-12T18:00:00Z,MSC AZURIT F,851,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:636021078,TERMINAL CATALUNYA SA,06:00:00,2022-10-12T04:00:00Z,2022-10-12,2022-10-12T16:00:00Z,Portacontenidors,18:00:00,DZALG,36A,636021078,9403437,FRFOS,Sol·licitada,14781,Fos-sur-Mer,Alger (Algiers),S,NA,39099-1,2022-10-12,2022-10-12T06:00:00Z,Libèria,MEDITERRANEAN SHIPPING COM ESPAÑA SLU,5LCD9
2022,6212,LR,2022-10-12T20:00:00Z,MAERSK PALERMO,125,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:636020264,TERMINAL CATALUNYA SA,12:00:00,2022-10-12T10:00:00Z,2022-10-12,2022-10-12T18:00:00Z,Portacontenidors,20:00:00,FRFOS,36A,636020264,9168207,MAPTM,Autoritzada,210,Tanger Med,Fos-sur-Mer,A,26-30,39071-1,2022-10-12,2022-10-12T12:00:00Z,Libèria,MARITIMA DEL MEDITERRANEO SA,D5YK2
2022,6212,LR,2022-10-12T20:00:00Z,MAERSK PENANG,125,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:636020265,TERMINAL CATALUNYA SA,06:25:00,2022-10-12T04:25:00Z,2022-10-12,2022-10-12T18:00:00Z,Portacontenidors,20:00:00,ESALG,36A,636020265,9168192,ITVDL,Iniciada,2104,Vado Ligure,Algeciras,I,21-25,39038-1,2022-10-12,2022-10-12T06:25:00Z,Libèria,MARITIMA DEL MEDITERRANEO SA,D5YK3
2022,6212,PT,2022-10-12T14:00:00Z,GEESKE,851,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:255806055,TERMINAL CATALUNYA SA,08:00:00,2022-10-12T06:00:00Z,2022-10-12,2022-10-12T12:00:00Z,Portacontenidors,14:00:00,DZALG,36A,255806055,9301562,MAPTM,Sol·licitada,1478,Tanger Med,Alger (Algiers),S,NA,38384-1,2022-10-12,2022-10-12T08:00:00Z,Portugal,MARITIMA DEL MEDITERRANEO SA,CQIS5
