ANYESCALA,TERMINALCODI,VAIXELLBANDERACODI,ETD,VAIXELLNOM,CALAT_METRES,MANEGA_METRES,MESINFO,TERMINALNOM,ETAHORA,ETAUTC,ETADIA,ETDUTC,VAIXELLTIPUS,ETDHORA,PORTDESTICODI,MOLLCODI,MMSI,IMO,PORTORIGENCODI,ESCALAESTAT,ESLORA_METRES,PORTORIGENNOM,PORTDESTINOM,ESTOPERATIUID,MOLLMODULS,ESCALANUM,ETDDIA,ETA,VAIXELLBANDERANOM,CONSIGNATARI,CALLSIGN
2021,D,BM,2022-09-12T23:00:00Z,QUEEN ELIZABETH,79,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:310625000,ADOSSAT/TERMINAL D,06:35:00,2022-09-12T04:35:00Z,2022-09-12,2022-09-12T21:00:00Z,Passatge,23:00:00,FRCEQ,01D,310625000,9477438,ESPMI,Iniciada,294,Palma de Mallorca,Cannes,I,10-16,31103-1,2022-09-12,2022-09-12T06:35:00Z,Bermuda,MARITIMA DEL MEDITERRANEO SA,ZCEF2
2022,0010,BS,2022-09-12T00:31:00Z,LYRIC MAGNOLIA,1466,44,https://www.marinetraffic.com/en/ais/details/ships/mmsi:311000360,CIA LOGISTICA DE HIDROCARBUROS SA,21:40:00,2022-09-10T19:40:00Z,2022-09-10,2022-09-11T22:31:00Z,Petroliers,00:31:00,MAJFL,24C,311000360,9734408,EGSUZ,Finalitzada,2499,El Suweis (= Suez),Jorf Lasfar,F,1-6,38299-2,2022-09-12,2022-09-10T21:40:00Z,Bahames,MH BLAND SL,C6BT6
2022,2252,MT,2022-09-12T01:00:00Z,MED CANARY,724,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:215498000,RECEPTORA DE LIQUIDOS SA,11:29:00,2022-09-11T09:29:00Z,2022-09-11,2022-09-11T23:00:00Z,Tancs,01:00:00,ZZZZZ,32F,215498000,9544358,ROCND,Iniciada,12325,Constanta,Desconegut,I,1,38386-1,2022-09-12,2022-09-11T11:29:00Z,Malta,ALFASHIP MARITIME SERVICES SL,9HA5143
2022,2398,CY,2022-09-12T22:15:00Z,HYPATIA DE ALEJANDRIA,679,256,https://www.marinetraffic.com/en/ais/details/ships/mmsi:209462000,TERMINAL PORT NOU SA,19:30:00,2022-09-12T17:30:00Z,2022-09-12,2022-09-12T20:15:00Z,Transbordadors,22:15:00,ESPMI,01D,209462000,9498755,ESPMI,Autoritzada,18646,Palma de Mallorca,Palma de Mallorca,A,1-4,38335-1,2022-09-12,2022-09-12T19:30:00Z,Xipre,BALEARIA EUROLINEAS MARITIMAS SA,5BDE5
2022,2398,DZ,2022-09-12T08:00:00Z,TAMANRASSET,95,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:605086020,TERMINAL PORT NOU SA,02:45:00,2022-09-12T00:45:00Z,2022-09-12,2022-09-12T06:00:00Z,Portacontenidors,08:00:00,ITGOA,00A,605086020,9760615,ESVLC,Iniciada,16995,Valencia,Genoa,I,6-10,37682-2,2022-09-12,2022-09-12T02:45:00Z,Algèria,TRANSPORTES CONSIGNACION MARITIMAS SA,7THQ
2022,2398,ES,2022-09-12T21:45:00Z,ABEL MATUTES,63,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:224402000,TERMINAL PORT NOU SA,19:00:00,2022-09-12T17:00:00Z,2022-09-12,2022-09-12T19:45:00Z,Transbordadors,21:45:00,ESALD,00A,224402000,9441130,ESALD,Autoritzada,190,Alcudia,Alcudia,A,6-10,38327-1,2022-09-12,2022-09-12T19:00:00Z,Espanya,BALEARIA EUROLINEAS MARITIMAS SA,ECPD
2022,2398,TR,2022-09-12T20:00:00Z,AKHISAR,75,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:271000653,TERMINAL PORT NOU SA,07:31:00,2022-09-12T05:31:00Z,2022-09-12,2022-09-12T18:00:00Z,Portacontenidors,20:00:00,ESALC,00A,271000653,9237149,ESCAS,Iniciada,1184,Castellon de la Plana,Alicante,I,3-5,37241-1,2022-09-12,2022-09-12T07:31:00Z,Turquia,BERGE MARITIMA SL,TCRB
2022,6037,MT,2022-09-12T12:00:00Z,ASTREA,1112,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:215034000,DECAL ESPAÑA SA,00:01:00,2022-09-11T22:01:00Z,2022-09-12,2022-09-12T10:00:00Z,Tancs,12:00:00,ZZZZZ,32A,215034000,9293997,TRIZT,Iniciada,17598,Izmit,Desconegut,I,1,38331-2,2022-09-12,2022-09-12T00:01:00Z,Malta,ALFASHIP MARITIME SERVICES SL,9HA4931
2022,6212,LR,2022-09-12T12:00:00Z,CONTSHIP RAY,85,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:636017852,TERMINAL CATALUNYA SA,15:59:00,2022-09-11T13:59:00Z,2022-09-11,2022-09-12T10:00:00Z,Càrrega (Lo-Lo),12:00:00,DZALG,36A,636017852,9388338,FRMRS,Iniciada,14783,Marseille,Alger (Algiers),I,21-24,38287-1,2022-09-12,2022-09-11T15:59:00Z,Libèria,CMA CGM IBERICA SAU,D5MZ8
2022,6212,MA,2022-09-12T02:00:00Z,CMA CGM TANGER,851,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:242754300,TERMINAL CATALUNYA SA,23:43:00,2022-09-11T21:43:00Z,2022-09-11,2022-09-12T00:00:00Z,Portacontenidors,02:00:00,ESVLC,36A,242754300,9259836,MACAS,Iniciada,1478,Casablanca,Valencia,I,26-29,38133-1,2022-09-12,2022-09-11T23:43:00Z,Marroc,CMA CGM IBERICA SAU,CNA5338
