ANYESCALA,TERMINALCODI,VAIXELLBANDERACODI,ETD,VAIXELLNOM,CALAT_METRES,MANEGA_METRES,MESINFO,TERMINALNOM,ETAHORA,ETAUTC,ETADIA,ETDUTC,VAIXELLTIPUS,ETDHORA,PORTDESTICODI,MOLLCODI,MMSI,IMO,PORTORIGENCODI,ESCALAESTAT,ESLORA_METRES,PORTORIGENNOM,PORTDESTINOM,ESTOPERATIUID,MOLLMODULS,ESCALANUM,ETDDIA,ETA,VAIXELLBANDERANOM,CONSIGNATARI,CALLSIGN
2021,B,BS,2022-09-18T18:00:00Z,WONDER OF THE SEAS,93,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:311001033,ADOSSAT/TERMINAL B,05:10:00,2022-09-18T03:10:00Z,2022-09-18,2022-09-18T16:00:00Z,Passatge,18:00:00,ESPMI,01D,311001033,9838345,ITNAP,Iniciada,362,Napoli,Palma de Mallorca,I,20-27,30200-1,2022-09-18,2022-09-18T05:10:00Z,Bahames,BALEARES CONSIGNATARIOS SL,C6EY2
2022,0010,MT,2022-09-18T22:00:00Z,VERONICA DP,756,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:256227000,CIA LOGISTICA DE HIDROCARBUROS SA,01:14:00,2022-09-16T23:14:00Z,2022-09-17,2022-09-18T20:00:00Z,Tancs,22:00:00,ESTAR,90A,256227000,9304318,ESCAS,Fondeig Previ,11202,Castellon de la Plana,Tarragona,P,NA,38703-1,2022-09-18,2022-09-17T01:14:00Z,Malta,IBERICA MARITIMA BARCELONA SA,9HA3856
2022,2376,HK,2022-09-18T15:00:00Z,XIN HAI TONG 22,1282,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:477244100,PORTCEMEN SA,14:09:00,2022-09-16T12:09:00Z,2022-09-16,2022-09-18T13:00:00Z,Granelers,15:00:00,CMDLA,22C,477244100,9453250,BEANR,Iniciada,18999,Anvers,Douala,I,1-4,38544-1,2022-09-18,2022-09-16T14:09:00Z,Hong Kong,COMA Y RIBAS SL,VRSI9
2022,2398,CY,2022-09-18T22:15:00Z,HYPATIA DE ALEJANDRIA,679,256,https://www.marinetraffic.com/en/ais/details/ships/mmsi:209462000,TERMINAL PORT NOU SA,17:00:00,2022-09-18T15:00:00Z,2022-09-18,2022-09-18T20:15:00Z,Transbordadors,22:15:00,ESPMI,01D,209462000,9498755,ESALD,Autoritzada,18646,Alcudia,Palma de Mallorca,A,1-4,38667-1,2022-09-18,2022-09-18T17:00:00Z,Xipre,BALEARIA EUROLINEAS MARITIMAS SA,5BDE5
2022,2398,ES,2022-09-18T23:59:00Z,ABEL MATUTES,63,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:224402000,TERMINAL PORT NOU SA,19:44:00,2022-09-17T17:44:00Z,2022-09-17,2022-09-18T21:59:00Z,Transbordadors,23:59:00,FRMWR,30A,224402000,9441130,ESALD,Iniciada,190,Alcudia,Marseillan,I,3-7,38557-1,2022-09-18,2022-09-17T19:44:00Z,Espanya,BALEARIA EUROLINEAS MARITIMAS SA,ECPD
2022,2398,MT,2022-09-18T22:01:00Z,BAHAMA MAMA,55,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:248218000,TERMINAL PORT NOU SA,08:00:00,2022-09-18T06:00:00Z,2022-09-18,2022-09-18T20:01:00Z,Transbordadors,22:01:00,ESIBZ,00A,248218000,9441142,ESALG,Autoritzada,15451,Algeciras,Ibiza,A,7-10,38668-1,2022-09-18,2022-09-18T08:00:00Z,Malta,BALEARIA EUROLINEAS MARITIMAS SA,9HA2263
2022,6037,MT,2022-09-18T19:00:00Z,EMERALD,1262,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:248033000,DECAL ESPAÑA SA,22:22:00,2022-09-17T20:22:00Z,2022-09-17,2022-09-18T17:00:00Z,Tancs,19:00:00,ESALG,32A,248033000,9391945,ITLIV,Iniciada,1825,Livorno,Algeciras,I,1,38649-1,2022-09-18,2022-09-17T22:22:00Z,Malta,NEXT MARITIME SL,9HA2135
2022,6154,BS,2022-09-18T00:15:00Z,SWAN ACE,982,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:309369000,AUTOTERMINAL SA,12:22:00,2022-09-17T10:22:00Z,2022-09-17,2022-09-17T22:15:00Z,Ro-Ro,00:15:00,BEANR,30C,309369000,9338826,EGSUZ,Finalitzada,19995,El Suweis (= Suez),Anvers,F,1-5,37937-1,2022-09-18,2022-09-17T12:22:00Z,Bahames,TRANSPORTES CONSIGNACION MARITIMAS SA,C6WV4
2022,6212,CY,2022-09-18T14:00:00Z,MAREN,851,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:305208000,TERMINAL CATALUNYA SA,01:00:00,2022-09-17T23:00:00Z,2022-09-18,2022-09-18T12:00:00Z,Portacontenidors,14:00:00,MAPTM,36A,305208000,9245677,FRMRS,Sol·licitada,1478,Marseille,Tanger Med,S,NA,37376-1,2022-09-18,2022-09-18T01:00:00Z,Xipre,CMA CGM IBERICA SAU,V2HQ4
2022,6212,CY,2022-09-18T23:00:00Z,RS LISA,747,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:210163000,TERMINAL CATALUNYA SA,06:01:00,2022-09-18T04:01:00Z,2022-09-18,2022-09-18T21:00:00Z,Portacontenidors,23:00:00,ITSPE,36A,210163000,9287704,ITSPE,Fondeig Previ,1375,La Spezia,La Spezia,P,27-29,38111-1,2022-09-18,2022-09-18T06:01:00Z,Xipre,MARITIMA DEL MEDITERRANEO SA,5BSJ5
2022,6212,LT,2022-09-18T14:15:00Z,KANTATA,851,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:277549000,TERMINAL CATALUNYA SA,23:26:00,2022-09-17T21:26:00Z,2022-09-17,2022-09-18T12:15:00Z,Portacontenidors,14:15:00,DZALG,36A,277549000,9327580,ITSPE,Iniciada,14784,La Spezia,Alger (Algiers),I,13-16,38538-1,2022-09-18,2022-09-17T23:26:00Z,Lituània,MEDITERRANEAN SHIPPING COM ESPAÑA SLU,LYBD
2022,6212,PA,2022-09-18T07:15:00Z,MSC ROSSELLA,121,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:356864000,TERMINAL CATALUNYA SA,06:56:00,2022-09-17T04:56:00Z,2022-09-17,2022-09-18T05:15:00Z,Portacontenidors,07:15:00,ITLIV,36A,356864000,9065443,CAMTR,Iniciada,24285,Montreal,Livorno,I,25-30,38566-1,2022-09-18,2022-09-17T06:56:00Z,Panamà,MEDITERRANEAN SHIPPING COM ESPAÑA SLU,3FFA6
2022,6995,MT,2022-09-18T15:00:00Z,OZDEN-S,63,168,https://www.marinetraffic.com/en/ais/details/ships/mmsi:215253000,MEROIL SA,07:03:00,2022-09-18T05:03:00Z,2022-09-18,2022-09-18T13:00:00Z,Tancs,15:00:00,TNBIZ,32F,215253000,9338735,FRFOS,Iniciada,1055,Fos-sur-Mer,Bizerte,I,1,38633-1,2022-09-18,2022-09-18T07:03:00Z,Malta,ALFASHIP MARITIME SERVICES SL,9HA5030
2022,7083,BM,2022-09-18T20:00:00Z,KOBE EXPRESS,1363,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:310764000,APM TERMINALS BARCELONA  S L U,11:36:00,2022-09-17T09:36:00Z,2022-09-17,2022-09-18T18:00:00Z,Portacontenidors,20:00:00,ESVLC,24B,310764000,9143544,ITLIV,Iniciada,294,Livorno,Valencia,I,8-14,38372-1,2022-09-18,2022-09-17T11:36:00Z,Bermuda,HAPAG LLOYD SPAIN SL,ZCEV2
