ANYESCALA,TERMINALCODI,VAIXELLBANDERACODI,ETD,VAIXELLNOM,CALAT_METRES,MANEGA_METRES,MESINFO,TERMINALNOM,ETAHORA,ETAUTC,ETADIA,ETDUTC,VAIXELLTIPUS,ETDHORA,PORTDESTICODI,MOLLCODI,MMSI,IMO,PORTORIGENCODI,ESCALAESTAT,ESLORA_METRES,PORTORIGENNOM,PORTDESTINOM,ESTOPERATIUID,MOLLMODULS,ESCALANUM,ETDDIA,ETA,VAIXELLBANDERANOM,CONSIGNATARI,CALLSIGN
2021,D,BM,2022-09-20T23:00:00Z,QUEEN ELIZABETH,79,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:310625000,ADOSSAT/TERMINAL D,06:21:00,2022-09-19T04:21:00Z,2022-09-19,2022-09-20T21:00:00Z,Passatge,23:00:00,FRVFM,01D,310625000,9477438,ESVLC,Iniciada,294,Valencia,Villefranche-sur-Mer,I,10-16,31106-1,2022-09-20,2022-09-19T06:21:00Z,Bermuda,MARITIMA DEL MEDITERRANEO SA,ZCEF2
2022,2252,IT,2022-09-20T06:00:00Z,FALESIA,611,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:247013600,RECEPTORA DE LIQUIDOS SA,06:00:00,2022-09-19T04:00:00Z,2022-09-19,2022-09-20T04:00:00Z,Tancs,06:00:00,ITPMO,32G,247013600,9217890,ITLIV,Autoritzada,100,Livorno,Palermo,A,1,38632-1,2022-09-20,2022-09-19T06:00:00Z,Itàlia,IBERICA MARITIMA BARCELONA SA,IBUA
2022,2396,IT,2022-09-20T02:30:00Z,GRANDE DETROIT,9,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:247186300,SETRAM,05:00:00,2022-09-19T03:00:00Z,2022-09-19,2022-09-20T00:30:00Z,Ro-Ro,02:30:00,PTSET,30A,247186300,9293272,FRFOS,Autoritzada,176,Fos-sur-Mer,Setubal,A,2-5,38515-1,2022-09-20,2022-09-19T05:00:00Z,Itàlia,GRIMALDI LOGISTICA ESPAÑA SL,ICCK
2022,2398,CY,2022-09-19T22:15:00Z,HYPATIA DE ALEJANDRIA,679,256,https://www.marinetraffic.com/en/ais/details/ships/mmsi:209462000,TERMINAL PORT NOU SA,19:30:00,2022-09-19T17:30:00Z,2022-09-19,2022-09-19T20:15:00Z,Transbordadors,22:15:00,ESPMI,01D,209462000,9498755,ESPMI,Autoritzada,18646,Palma de Mallorca,Palma de Mallorca,A,1-4,38568-1,2022-09-19,2022-09-19T19:30:00Z,Xipre,BALEARIA EUROLINEAS MARITIMAS SA,5BDE5
2022,2398,DZ,2022-09-19T20:00:00Z,DJANET,95,2429,https://www.marinetraffic.com/en/ais/details/ships/mmsi:605086090,TERMINAL PORT NOU SA,06:59:00,2022-09-19T04:59:00Z,2022-09-19,2022-09-19T18:00:00Z,Portacontenidors,20:00:00,DZBJA,00A,605086090,9845063,FRMRS,Iniciada,1719,Marseille,Bejaia (ex Bougie),I,2-5,37942-2,2022-09-19,2022-09-19T06:59:00Z,Algèria,TRANSPORTES CONSIGNACION MARITIMAS SA,7THR
2022,2398,MT,2022-09-19T22:01:00Z,BAHAMA MAMA,55,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:248218000,TERMINAL PORT NOU SA,19:00:00,2022-09-19T17:00:00Z,2022-09-19,2022-09-19T20:01:00Z,Transbordadors,22:01:00,ESIBZ,00A,248218000,9441142,ESIBZ,Autoritzada,15451,Ibiza,Ibiza,A,7-10,38674-1,2022-09-19,2022-09-19T19:00:00Z,Malta,BALEARIA EUROLINEAS MARITIMAS SA,9HA2263
2022,6154,MT,2022-09-19T14:00:00Z,NEPTUNE ITHAKI,872,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:215587000,AUTOTERMINAL SA,03:00:00,2022-09-19T01:00:00Z,2022-09-19,2022-09-19T12:00:00Z,Car-carrier,14:00:00,ESVLC,31A,215587000,9440083,ESTAR,Autoritzada,16959,Tarragona,Valencia,A,3-6,38537-1,2022-09-19,2022-09-19T03:00:00Z,Malta,NEPTUNE BARCELONA SA,9HA2213
2022,6212,PT,2022-09-20T14:15:00Z,MSC ODESSA,1252,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:255805661,TERMINAL CATALUNYA SA,12:15:00,2022-09-19T10:15:00Z,2022-09-19,2022-09-20T12:15:00Z,Portacontenidors,14:15:00,ESVLC,36A,255805661,9456965,ESVLC,Confirmada,26206,Valencia,Valencia,C,NA,38640-1,2022-09-20,2022-09-19T12:15:00Z,Portugal,MEDITERRANEAN SHIPPING COM ESPAÑA SLU,CQGL
2022,6212,SG,2022-09-20T06:00:00Z,ATLANTIC MERCHANT,851,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:563143700,TERMINAL CATALUNYA SA,12:00:00,2022-09-19T10:00:00Z,2022-09-19,2022-09-20T04:00:00Z,Portacontenidors,06:00:00,MAPTM,36A,563143700,9378929,FRMRS,Confirmada,1478,Marseille,Tanger Med,C,NA,38391-1,2022-09-20,2022-09-19T12:00:00Z,Singapur,CMA CGM IBERICA SAU,9V7597
2022,6995,TR,2022-09-20T14:00:00Z,SELENA ATK,67,166,https://www.marinetraffic.com/en/ais/details/ships/mmsi:271049458,MEROIL SA,14:00:00,2022-09-19T12:00:00Z,2022-09-19,2022-09-20T12:00:00Z,Tancs,14:00:00,ESALG,32F,271049458,9902665,ITRAN,Autoritzada,9999,Ravenna,Algeciras,A,1,38630-1,2022-09-20,2022-09-19T14:00:00Z,Turquia,IBERICA MARITIMA BARCELONA SA,TCA6642
2022,7083,DZ,2022-09-20T20:00:00Z,DJANET,95,2429,https://www.marinetraffic.com/en/ais/details/ships/mmsi:605086090,APM TERMINALS BARCELONA  S L U,20:01:00,2022-09-19T18:01:00Z,2022-09-19,2022-09-20T18:00:00Z,Portacontenidors,20:00:00,DZBJA,24X,605086090,9845063,FRMRS,Iniciada,1719,Marseille,Bejaia (ex Bougie),I,NA,37942-1,2022-09-20,2022-09-19T20:01:00Z,Algèria,TRANSPORTES CONSIGNACION MARITIMAS SA,7THR
2022,7083,IL,2022-09-20T02:00:00Z,ZIM YOKOHAMA,126,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:428403000,APM TERMINALS BARCELONA  S L U,06:23:00,2022-09-19T04:23:00Z,2022-09-19,2022-09-20T00:00:00Z,Portacontenidors,02:00:00,ESVLC,24X,428403000,9322346,ITGOA,Iniciada,261,Genoa,Valencia,I,NA,38158-1,2022-09-20,2022-09-19T06:23:00Z,Israel,A PEREZ Y CIA SL,4XFD
2022,7083,MT,2022-09-20T11:00:00Z,SINE A,1202,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:256318000,APM TERMINALS BARCELONA  S L U,02:00:00,2022-09-19T00:00:00Z,2022-09-19,2022-09-20T09:00:00Z,Portacontenidors,11:00:00,EGALY,24X,256318000,9343089,ESCAS,Iniciada,22215,Castellon de la Plana,El Iskandariya (= Alexandria),I,NA,38346-1,2022-09-20,2022-09-19T02:00:00Z,Malta,ARKAS SPAIN SA,9HA3885
