ANYESCALA,TERMINALCODI,VAIXELLBANDERACODI,ETD,VAIXELLNOM,CALAT_METRES,MANEGA_METRES,MESINFO,TERMINALNOM,ETAHORA,ETAUTC,ETADIA,ETDUTC,VAIXELLTIPUS,ETDHORA,PORTDESTICODI,MOLLCODI,MMSI,IMO,PORTORIGENCODI,ESCALAESTAT,ESLORA_METRES,PORTORIGENNOM,PORTDESTINOM,ESTOPERATIUID,MOLLMODULS,ESCALANUM,ETDDIA,ETA,VAIXELLBANDERANOM,CONSIGNATARI,CALLSIGN
2021,B,MT,2022-10-18T20:10:00Z,CELEBRITY EDGE,823,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:248325000,ADOSSAT/TERMINAL B,07:25:00,2022-10-18T05:25:00Z,2022-10-18,2022-10-18T18:10:00Z,Passatge,20:10:00,ITCAG,01D,248325000,9812705,FRTLN,Finalitzada,306,Toulon,Cagliari,F,24-30,29507-1,2022-10-18,2022-10-18T07:25:00Z,Malta,BALEARES CONSIGNATARIOS SL,9HA4612
2021,C,BM,2022-10-18T23:59:00Z,AURORA,84,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:310556000,ADOSSAT/TERMINAL C,08:07:00,2022-10-18T06:07:00Z,2022-10-18,2022-10-18T21:59:00Z,Passatge,23:59:00,ITGOA,01D,310556000,9169524,ESCAD,Iniciada,270,Cadiz,Genoa,I,17-22,31142-1,2022-10-18,2022-10-18T08:07:00Z,Bermuda,MARITIMA DEL MEDITERRANEO SA,ZCDW9
2022,0010,MH,2022-10-18T20:46:00Z,PLUTO,1152,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:538008326,CIA LOGISTICA DE HIDROCARBUROS SA,20:44:00,2022-10-18T18:44:00Z,2022-10-18,2022-10-18T18:46:00Z,Tancs,20:46:00,ESALG,26A,538008326,9353137,ESCAR,Iniciada,184,Cartagena,Algeciras,I,3-7,39327-2,2022-10-18,2022-10-18T20:44:00Z,Illes Marshall,A PEREZ Y CIA SL,V7A2240
2022,0050,NL,2022-10-18T21:30:00Z,MAASBORG,625,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:244575000,TRAFICO DE MERCANCIAS SA,23:06:00,2022-10-17T21:06:00Z,2022-10-17,2022-10-18T19:30:00Z,Càrrega (Lo-Lo),21:30:00,NOGLO,26A,244575000,9341720,ESTAR,Finalitzada,11078,Tarragona,Glomfjord,F,14-16,39268-1,2022-10-18,2022-10-17T23:06:00Z,Països Baixos,ERSHIP SA,PFRL
2022,2398,CY,2022-10-18T22:40:00Z,KERRY,653,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:210772000,TERMINAL PORT NOU SA,19:44:00,2022-10-18T17:44:00Z,2022-10-18,2022-10-18T20:40:00Z,Transbordadors,22:40:00,ESPMI,00A,210772000,9243447,ESPMI,Finalitzada,1865,Palma de Mallorca,Palma de Mallorca,F,6-10,39102-1,2022-10-18,2022-10-18T19:44:00Z,Xipre,BALEARIA EUROLINEAS MARITIMAS SA,5BZF3
2022,2398,DZ,2022-10-18T01:43:00Z,DJANET,95,2429,https://www.marinetraffic.com/en/ais/details/ships/mmsi:605086090,TERMINAL PORT NOU SA,15:37:00,2022-10-17T13:37:00Z,2022-10-17,2022-10-17T23:43:00Z,Portacontenidors,01:43:00,ESVLC,00A,605086090,9845063,FRMRS,Finalitzada,1719,Marseille,Valencia,F,2-5,38430-1,2022-10-18,2022-10-17T15:37:00Z,Algèria,TRANSPORTES CONSIGNACION MARITIMAS SA,7THR
2022,2398,MT,2022-10-18T22:09:00Z,BAHAMA MAMA,55,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:248218000,TERMINAL PORT NOU SA,19:06:00,2022-10-18T17:06:00Z,2022-10-18,2022-10-18T20:09:00Z,Transbordadors,22:09:00,ESIBZ,30A,248218000,9441142,ESIBZ,Finalitzada,15451,Ibiza,Ibiza,F,4-7,39105-1,2022-10-18,2022-10-18T19:06:00Z,Malta,BALEARIA EUROLINEAS MARITIMAS SA,9HA2263
2022,6154,MH,2022-10-18T21:00:00Z,NEPTUNE AVRA,662,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:538009923,AUTOTERMINAL SA,11:00:00,2022-10-18T09:00:00Z,2022-10-18,2022-10-18T19:00:00Z,Car-carrier,21:00:00,MAPTM,31A,538009923,8807155,FRFOS,Sol·licitada,155,Fos-sur-Mer,Tanger Med,S,NA,39398-1,2022-10-18,2022-10-18T11:00:00Z,Illes Marshall,NEPTUNE BARCELONA SA,V7A5346
2022,6154,MT,2022-10-18T20:56:00Z,NEPTUNE PHOS,87,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:256012000,AUTOTERMINAL SA,04:58:00,2022-10-18T02:58:00Z,2022-10-18,2022-10-18T18:56:00Z,Car-carrier,20:56:00,ESVLC,31A,256012000,9451719,FRSET,Finalitzada,168,Sete,Valencia,F,2-6,39396-1,2022-10-18,2022-10-18T04:58:00Z,Malta,NEPTUNE BARCELONA SA,9HA5659
2022,6212,LR,2022-10-18T08:49:00Z,TENO,135,456,https://www.marinetraffic.com/en/ais/details/ships/mmsi:636014646,TERMINAL CATALUNYA SA,11:40:00,2022-10-17T09:40:00Z,2022-10-17,2022-10-18T06:49:00Z,Portacontenidors,08:49:00,ITGOA,36A,636014646,9447859,ESVLC,Finalitzada,300,Valencia,Genoa,F,9-15,38769-1,2022-10-18,2022-10-17T11:40:00Z,Libèria,HAPAG LLOYD SPAIN SL,A8VP7
2022,6212,LR,2022-10-18T18:00:00Z,MSC MARIA CLARA,135,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:636020899,TERMINAL CATALUNYA SA,06:00:00,2022-10-18T04:00:00Z,2022-10-18,2022-10-18T16:00:00Z,Portacontenidors,18:00:00,ITLIV,36A,636020899,9287900,CAHAL,Sol·licitada,29405,Halifax,Livorno,S,NA,39178-1,2022-10-18,2022-10-18T06:00:00Z,Libèria,MEDITERRANEAN SHIPPING COM ESPAÑA SLU,BQOB
2022,6212,LT,2022-10-18T20:00:00Z,SONATA,851,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:277562000,TERMINAL CATALUNYA SA,06:00:00,2022-10-18T04:00:00Z,2022-10-18,2022-10-18T18:00:00Z,Portacontenidors,20:00:00,DZORN,36A,277562000,9316103,ESVLC,Sol·licitada,148,Valencia,Oran,S,NA,39259-1,2022-10-18,2022-10-18T06:00:00Z,Lituània,MEDITERRANEAN SHIPPING COM ESPAÑA SLU,LYBN
2022,6212,PT,2022-10-18T16:21:00Z,NORDIC ANNA,115,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:255805610,TERMINAL CATALUNYA SA,00:12:00,2022-10-17T22:12:00Z,2022-10-18,2022-10-18T14:21:00Z,Portacontenidors,16:21:00,ESVLC,36A,255805610,9337028,ITSPE,Finalitzada,19107,La Spezia,Valencia,F,16-20,39106-1,2022-10-18,2022-10-18T00:12:00Z,Portugal,MEDITERRANEAN SHIPPING COM ESPAÑA SLU,CQFI
2022,6995,MH,2022-10-18T20:43:00Z,PLUTO,1152,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:538008326,MEROIL SA,13:09:00,2022-10-17T11:09:00Z,2022-10-17,2022-10-18T18:43:00Z,Tancs,20:43:00,ESALG,32B,538008326,9353137,ESCAR,Iniciada,184,Cartagena,Algeciras,I,1,39327-1,2022-10-18,2022-10-17T13:09:00Z,Illes Marshall,A PEREZ Y CIA SL,V7A2240
2022,7259,GR,2022-10-18T10:15:00Z,EVIAPETROL V,68,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:241344000,TERMINALES PORTUARIAS SL,10:13:00,2022-10-18T08:13:00Z,2022-10-18,2022-10-18T08:15:00Z,Tancs,10:15:00,FRSET,32D,241344000,9358503,ESMOT,Iniciada,1191,Motril,Sete,I,1,39408-1,2022-10-18,2022-10-18T10:13:00Z,Grècia,IBERICA MARITIMA BARCELONA SA,SVCB2
2022,7259,LR,2022-10-18T08:58:00Z,SOLAR NAAMA,1002,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:636020366,TERMINALES PORTUARIAS SL,11:47:00,2022-10-16T09:47:00Z,2022-10-16,2022-10-18T06:58:00Z,Tancs,08:58:00,ESHUV,32E,636020366,9887396,ITGOA,Finalitzada,16906,Genoa,Huelva,F,1,39356-1,2022-10-18,2022-10-16T11:47:00Z,Libèria,MH BLAND SL,D5YW6
2022,7332,ES,2022-10-18T21:48:00Z,MARTIN I SOLER,57,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:224637000,BALEARIA EUROLINEAS MARITIMAS SA,19:13:00,2022-10-18T17:13:00Z,2022-10-18,2022-10-18T19:48:00Z,Transbordadors,21:48:00,ESALD,18A,224637000,9390367,ESALD,Finalitzada,165,Alcudia,Alcudia,F,1-4,39116-1,2022-10-18,2022-10-18T19:13:00Z,Espanya,BALEARIA EUROLINEAS MARITIMAS SA,EBZT
