ANYESCALA,TERMINALCODI,VAIXELLBANDERACODI,ETD,VAIXELLNOM,CALAT_METRES,MANEGA_METRES,MESINFO,TERMINALNOM,ETAHORA,ETAUTC,ETADIA,ETDUTC,VAIXELLTIPUS,ETDHORA,PORTDESTICODI,MOLLCODI,MMSI,IMO,PORTORIGENCODI,ESCALAESTAT,ESLORA_METRES,PORTORIGENNOM,PORTDESTINOM,ESTOPERATIUID,MOLLMODULS,ESCALANUM,ETDDIA,ETA,VAIXELLBANDERANOM,CONSIGNATARI,CALLSIGN
2021,B,BS,2022-10-16T18:00:00Z,WONDER OF THE SEAS,93,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:311001033,ADOSSAT/TERMINAL B,04:50:00,2022-10-16T02:50:00Z,2022-10-16,2022-10-16T16:00:00Z,Passatge,18:00:00,ESPMI,01D,311001033,9838345,ITNAP,Iniciada,362,Napoli,Palma de Mallorca,I,20-27,30204-1,2022-10-16,2022-10-16T04:50:00Z,Bahames,BALEARES CONSIGNATARIOS SL,C6EY2
2022,0014,LV,2022-10-17T16:00:00Z,MOONRAY,37,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:275488000,COMA Y RIBAS SL,14:00:00,2022-10-16T12:00:00Z,2022-10-16,2022-10-17T14:00:00Z,Càrrega (Lo-Lo),16:00:00,FRLIO,23A,275488000,9234410,FRLIO,Autoritzada,88,Lyon,Lyon,A,2-3,39289-1,2022-10-17,2022-10-16T14:00:00Z,Letònia,TRANSITAINER SA,YLOU
2022,2256,LR,2022-10-19T23:00:00Z,ZEUS,149,38,https://www.marinetraffic.com/en/ais/details/ships/mmsi:636017523,ERGRANSA SA,14:00:00,2022-10-16T12:00:00Z,2022-10-16,2022-10-19T21:00:00Z,Granelers,23:00:00,ZZZZZ,22B,636017523,9426049,ESTAR,Iniciada,2292,Tarragona,Desconegut,I,1-5,39217-1,2022-10-19,2022-10-16T14:00:00Z,Libèria,ALFASHIP MARITIME SERVICES SL,D5LJ3
2022,2396,IT,2022-10-17T20:30:00Z,GRANDE HOUSTON,95,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:247408300,SETRAM,23:00:00,2022-10-16T21:00:00Z,2022-10-16,2022-10-17T18:30:00Z,Car-carrier,20:30:00,ESVLC,31A,247408300,9782699,ITGIT,Autoritzada,200,Gioia Tauro,Valencia,A,2-6,39002-1,2022-10-17,2022-10-16T23:00:00Z,Itàlia,GRIMALDI LOGISTICA ESPAÑA SL,IBQR
2022,6154,PA,2022-10-16T14:00:00Z,BLANCO ACE,973,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:352978142,AUTOTERMINAL SA,05:51:00,2022-10-16T03:51:00Z,2022-10-16,2022-10-16T12:00:00Z,Car-carrier,14:00:00,BEANR,31A,352978142,9889112,SGSIN,Iniciada,19996,Singapore,Anvers,I,2-6,38452-1,2022-10-16,2022-10-16T05:51:00Z,Panamà,TRANSPORTES CONSIGNACION MARITIMAS SA,3E3970
2022,6212,CY,2022-10-16T20:00:00Z,RS LISA,747,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:210163000,TERMINAL CATALUNYA SA,08:01:00,2022-10-16T06:01:00Z,2022-10-16,2022-10-16T18:00:00Z,Portacontenidors,20:00:00,ITSPE,36A,210163000,9287704,ITSPE,Fondeig Previ,1375,La Spezia,La Spezia,P,14-17,39073-1,2022-10-16,2022-10-16T08:01:00Z,Xipre,MARITIMA DEL MEDITERRANEO SA,5BSJ5
2022,6212,LR,2022-10-16T20:00:00Z,MSC MALENA,114,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:636020360,TERMINAL CATALUNYA SA,06:00:00,2022-10-16T04:00:00Z,2022-10-16,2022-10-16T18:00:00Z,Portacontenidors,20:00:00,ESVLC,36A,636020360,9203538,FRFOS,Sol·licitada,20717,Fos-sur-Mer,Valencia,S,NA,39006-1,2022-10-16,2022-10-16T06:00:00Z,Libèria,MEDITERRANEAN SHIPPING COM ESPAÑA SLU,D5YV9
2022,6995,MH,2022-10-17T18:00:00Z,PLUTO,1152,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:538008326,MEROIL SA,14:00:00,2022-10-16T12:00:00Z,2022-10-16,2022-10-17T16:00:00Z,Tancs,18:00:00,ESALG,32D,538008326,9353137,ESCAR,Autoritzada,184,Cartagena,Algeciras,A,1,39327-1,2022-10-17,2022-10-16T14:00:00Z,Illes Marshall,A PEREZ Y CIA SL,V7A2240
2022,7083,DE,2022-10-16T23:00:00Z,BERLIN EXPRESS,145,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:211387390,APM TERMINALS BARCELONA  S L U,06:31:00,2022-10-16T04:31:00Z,2022-10-16,2022-10-16T21:00:00Z,Portacontenidors,23:00:00,FRFOS,24B,211387390,9229855,ESVLC,Iniciada,321,Valencia,Fos-sur-Mer,I,15-22,38775-1,2022-10-16,2022-10-16T06:31:00Z,Alemanya,HAPAG LLOYD SPAIN SL,DGHX
2022,7083,LR,2022-10-17T02:00:00Z,ZIM CHINA,1262,3225,https://www.marinetraffic.com/en/ais/details/ships/mmsi:636021739,APM TERMINALS BARCELONA  S L U,12:00:00,2022-10-16T10:00:00Z,2022-10-16,2022-10-17T00:00:00Z,Portacontenidors,02:00:00,ESVLC,24B,636021739,9389382,ITGOA,Autoritzada,2614,Genoa,Valencia,A,9-14,38469-1,2022-10-17,2022-10-16T12:00:00Z,Libèria,A PEREZ Y CIA SL,5LFL9
