ANYESCALA,TERMINALCODI,VAIXELLBANDERACODI,ETD,VAIXELLNOM,CALAT_METRES,MANEGA_METRES,MESINFO,TERMINALNOM,ETAHORA,ETAUTC,ETADIA,ETDUTC,VAIXELLTIPUS,ETDHORA,PORTDESTICODI,MOLLCODI,MMSI,IMO,PORTORIGENCODI,ESCALAESTAT,ESLORA_METRES,PORTORIGENNOM,PORTDESTINOM,ESTOPERATIUID,MOLLMODULS,ESCALANUM,ETDDIA,ETA,VAIXELLBANDERANOM,CONSIGNATARI,CALLSIGN
2022,2376,CY,2022-09-06T12:00:00Z,SIRIOS CEMENT V,531,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:212781000,PORTCEMEN SA,17:49:00,2022-09-05T15:49:00Z,2022-09-05,2022-09-06T10:00:00Z,Granelers,12:00:00,ESACA,22C,212781000,8816352,ESACA,Iniciada,86,Alcanar,Alcanar,I,3-5,38259-1,2022-09-06,2022-09-05T17:49:00Z,Xipre,ERSHIP SA,5BSG4
2022,2398,CY,2022-09-06T22:15:00Z,HYPATIA DE ALEJANDRIA,679,256,https://www.marinetraffic.com/en/ais/details/ships/mmsi:209462000,TERMINAL PORT NOU SA,19:30:00,2022-09-06T17:30:00Z,2022-09-06,2022-09-06T20:15:00Z,Transbordadors,22:15:00,ESPMI,01D,209462000,9498755,ESPMI,Autoritzada,18646,Palma de Mallorca,Palma de Mallorca,A,1-4,38042-1,2022-09-06,2022-09-06T19:30:00Z,Xipre,BALEARIA EUROLINEAS MARITIMAS SA,5BDE5
2022,2398,ES,2022-09-06T21:45:00Z,ABEL MATUTES,63,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:224402000,TERMINAL PORT NOU SA,19:00:00,2022-09-06T17:00:00Z,2022-09-06,2022-09-06T19:45:00Z,Transbordadors,21:45:00,ESALD,00A,224402000,9441130,ESALD,Autoritzada,190,Alcudia,Alcudia,A,6-10,38033-1,2022-09-06,2022-09-06T19:00:00Z,Espanya,BALEARIA EUROLINEAS MARITIMAS SA,ECPD
2022,2398,TN,2022-09-06T16:00:00Z,CONMAR FJORD,698,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:672000030,TERMINAL PORT NOU SA,05:00:00,2022-09-06T03:00:00Z,2022-09-06,2022-09-06T14:00:00Z,Portacontenidors,16:00:00,LYMRA,00A,672000030,9244192,ESCAS,Sol·licitada,1326,Castellon de la Plana,Misurata,S,NA,37602-1,2022-09-06,2022-09-06T05:00:00Z,Tunísia,BERGE MARITIMA SL,TSNF
2022,6037,LR,2022-09-06T12:00:00Z,DIDIMON,1052,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:636014337,DECAL ESPAÑA SA,12:00:00,2022-09-04T10:00:00Z,2022-09-04,2022-09-06T10:00:00Z,Tancs,12:00:00,ZZZZZ,34B,636014337,9288772,ESTAR,Sol·licitada,17597,Tarragona,Desconegut,S,NA,38248-1,2022-09-06,2022-09-04T12:00:00Z,Libèria,ALFASHIP MARITIME SERVICES SL,A8TE7
2022,6154,MT,2022-09-06T01:55:00Z,NEPTUNE THALASSA,87,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:215602000,AUTOTERMINAL SA,12:49:00,2022-09-05T10:49:00Z,2022-09-05,2022-09-05T23:55:00Z,Car-carrier,01:55:00,ESTAR,30C,215602000,9668506,FRSET,Finalitzada,16955,Sete,Tarragona,F,1-4,38075-1,2022-09-06,2022-09-05T12:49:00Z,Malta,NEPTUNE BARCELONA SA,9HA5203
2022,6212,AG,2022-09-06T02:14:00Z,CORONA J,95,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:304813000,TERMINAL CATALUNYA SA,02:12:00,2022-09-06T00:12:00Z,2022-09-06,2022-09-06T00:14:00Z,Portacontenidors,02:14:00,DZORN,36A,304813000,9238686,ESBCN,Iniciada,1611,Barcelona,Oran,I,26-29,37597-1,2022-09-06,2022-09-06T02:12:00Z,Antigua i Barbuda,CMA CGM IBERICA SAU,V2BG1
2022,6212,CY,2022-09-06T08:00:00Z,RS LISA,747,213,https://www.marinetraffic.com/en/ais/details/ships/mmsi:210163000,TERMINAL CATALUNYA SA,16:37:00,2022-09-05T14:37:00Z,2022-09-05,2022-09-06T06:00:00Z,Portacontenidors,08:00:00,ITSPE,36A,210163000,9287704,ITSPE,Iniciada,1375,La Spezia,La Spezia,I,22-25,37842-4,2022-09-06,2022-09-05T16:37:00Z,Xipre,MARITIMA DEL MEDITERRANEO SA,5BSJ5
2022,6212,LR,2022-09-06T00:54:00Z,OPS HAMBURG,85,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:636092040,TERMINAL CATALUNYA SA,17:23:00,2022-09-05T15:23:00Z,2022-09-05,2022-09-05T22:54:00Z,Portacontenidors,00:54:00,MAPTM,36A,636092040,9406829,FRMRS,Finalitzada,14787,Marseille,Tanger Med,F,26-29,38106-1,2022-09-06,2022-09-05T17:23:00Z,Libèria,CMA CGM IBERICA SAU,A8VS9
2022,6212,PA,2022-09-06T04:55:00Z,MSC VERONIQUE,135,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:373120000,TERMINAL CATALUNYA SA,05:53:00,2022-09-05T03:53:00Z,2022-09-05,2022-09-06T02:55:00Z,Portacontenidors,04:55:00,ITLIV,36A,373120000,8618293,CAMTR,Finalitzada,29411,Montreal,Livorno,F,14-20,37801-1,2022-09-06,2022-09-05T05:53:00Z,Panamà,MEDITERRANEAN SHIPPING COM ESPAÑA SLU,3EYX
