ANYESCALA,TERMINALCODI,VAIXELLBANDERACODI,ETD,VAIXELLNOM,CALAT_METRES,MANEGA_METRES,MESINFO,TERMINALNOM,ETAHORA,ETAUTC,ETADIA,ETDUTC,VAIXELLTIPUS,ETDHORA,PORTDESTICODI,MOLLCODI,MMSI,IMO,PORTORIGENCODI,ESCALAESTAT,ESLORA_METRES,PORTORIGENNOM,PORTDESTINOM,ESTOPERATIUID,MOLLMODULS,ESCALANUM,ETDDIA,ETA,VAIXELLBANDERANOM,CONSIGNATARI,CALLSIGN
2021,B,MT,2022-09-29T19:00:00Z,CELEBRITY EDGE,823,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:248325000,ADOSSAT/TERMINAL B,09:30:00,2022-09-28T07:30:00Z,2022-09-28,2022-09-29T17:00:00Z,Passatge,19:00:00,ESPMI,01D,248325000,9812705,FRCEQ,Autoritzada,306,Cannes,Palma de Mallorca,A,23-29,29506-1,2022-09-29,2022-09-28T09:30:00Z,Malta,BALEARES CONSIGNATARIOS SL,9HA4612
2022,2398,CY,2022-09-28T22:15:00Z,HYPATIA DE ALEJANDRIA,679,256,https://www.marinetraffic.com/en/ais/details/ships/mmsi:209462000,TERMINAL PORT NOU SA,19:30:00,2022-09-28T17:30:00Z,2022-09-28,2022-09-28T20:15:00Z,Transbordadors,22:15:00,ESPMI,01D,209462000,9498755,ESPMI,Autoritzada,18646,Palma de Mallorca,Palma de Mallorca,A,1-4,38805-1,2022-09-28,2022-09-28T19:30:00Z,Xipre,BALEARIA EUROLINEAS MARITIMAS SA,5BDE5
2022,2398,MT,2022-09-28T21:00:00Z,X-PRESS MONTE CERVINO,735,194,https://www.marinetraffic.com/en/ais/details/ships/mmsi:256677000,TERMINAL PORT NOU SA,10:00:00,2022-09-28T08:00:00Z,2022-09-28,2022-09-28T19:00:00Z,Portacontenidors,21:00:00,ITGOA,00A,256677000,9292943,ESCAS,Autoritzada,1336,Castellon de la Plana,Genoa,A,3-5,38651-1,2022-09-28,2022-09-28T10:00:00Z,Malta,BERGE MARITIMA SL,9HA3980
2022,2398,MT,2022-09-28T22:01:00Z,BAHAMA MAMA,55,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:248218000,TERMINAL PORT NOU SA,19:00:00,2022-09-28T17:00:00Z,2022-09-28,2022-09-28T20:01:00Z,Transbordadors,22:01:00,ESIBZ,00A,248218000,9441142,ESIBZ,Autoritzada,15451,Ibiza,Ibiza,A,7-10,38818-1,2022-09-28,2022-09-28T19:00:00Z,Malta,BALEARIA EUROLINEAS MARITIMAS SA,9HA2263
2022,6154,GR,2022-09-28T21:00:00Z,NEPTUNE THARROS,9,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:241812000,AUTOTERMINAL SA,11:00:00,2022-09-28T09:00:00Z,2022-09-28,2022-09-28T19:00:00Z,Car-carrier,21:00:00,EGSUZ,30C,241812000,9431850,FRSET,Autoritzada,1828,Sete,El Suweis (= Suez),A,1-5,38883-1,2022-09-28,2022-09-28T11:00:00Z,Grècia,NEPTUNE BARCELONA SA,SVDQ4
2022,6154,MH,2022-09-28T20:00:00Z,VIKING DIAMOND,86,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:538009729,AUTOTERMINAL SA,10:00:00,2022-09-28T08:00:00Z,2022-09-28,2022-09-28T18:00:00Z,Car-carrier,20:00:00,ESLPA,31A,538009729,9481075,FRTLN,Autoritzada,16725,Toulon,Las Palmas,A,2-5,38445-1,2022-09-28,2022-09-28T10:00:00Z,Illes Marshall,VAPORES SUARDIAZ MEDITERRANEO SA,V7A5092
2022,6212,LR,2022-09-28T20:00:00Z,MAERSK PENANG,125,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:636020265,TERMINAL CATALUNYA SA,05:41:00,2022-09-28T03:41:00Z,2022-09-28,2022-09-28T18:00:00Z,Portacontenidors,20:00:00,ESALG,36A,636020265,9168192,ITVDL,Iniciada,2104,Vado Ligure,Algeciras,I,23-27,38374-1,2022-09-28,2022-09-28T05:41:00Z,Libèria,MARITIMA DEL MEDITERRANEO SA,D5YK3
2022,6212,PA,2022-09-28T20:00:00Z,MSC RACHELE,145,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:354712000,TERMINAL CATALUNYA SA,06:00:00,2022-09-28T04:00:00Z,2022-09-28,2022-09-28T18:00:00Z,Portacontenidors,20:00:00,ESVLC,36A,354712000,9290282,SAKAC,Sol·licitada,334,King Abdullah City,Valencia,S,NA,38487-1,2022-09-28,2022-09-28T06:00:00Z,Panamà,MEDITERRANEAN SHIPPING COM ESPAÑA SLU,3EAO2
2022,6212,PA,2022-09-29T07:45:00Z,MSC CORCOVADO III,114,NA,NA,TERMINAL CATALUNYA SA,12:30:00,2022-09-28T10:30:00Z,2022-09-28,2022-09-29T05:45:00Z,Portacontenidors,07:45:00,ESVLC,36A,NA,9241463,ITSPE,Autoritzada,2074,La Spezia,Valencia,A,13-17,38757-1,2022-09-29,2022-09-28T12:30:00Z,Panamà,MEDITERRANEAN SHIPPING COM ESPAÑA SLU,3E3603
2022,6212,PT,2022-09-29T01:15:00Z,MSC ANNE F,88,226,https://www.marinetraffic.com/en/ais/details/ships/mmsi:255806190,TERMINAL CATALUNYA SA,04:42:00,2022-09-28T02:42:00Z,2022-09-28,2022-09-28T23:15:00Z,Portacontenidors,01:15:00,FRFOS,36A,255806190,9347803,ESVLC,Iniciada,13914,Valencia,Fos-sur-Mer,I,19-22,38851-1,2022-09-29,2022-09-28T04:42:00Z,Portugal,MEDITERRANEAN SHIPPING COM ESPAÑA SLU,CQAJ4
