ANYESCALA,TERMINALCODI,VAIXELLBANDERACODI,ETD,VAIXELLNOM,CALAT_METRES,MANEGA_METRES,MESINFO,TERMINALNOM,ETAHORA,ETAUTC,ETADIA,ETDUTC,VAIXELLTIPUS,ETDHORA,PORTDESTICODI,MOLLCODI,MMSI,IMO,PORTORIGENCODI,ESCALAESTAT,ESLORA_METRES,PORTORIGENNOM,PORTDESTINOM,ESTOPERATIUID,MOLLMODULS,ESCALANUM,ETDDIA,ETA,VAIXELLBANDERANOM,CONSIGNATARI,CALLSIGN
2021,B,BS,2022-09-18T18:00:00Z,WONDER OF THE SEAS,93,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:311001033,ADOSSAT/TERMINAL B,05:10:00,2022-09-18T03:10:00Z,2022-09-18,2022-09-18T16:00:00Z,Passatge,18:00:00,ESPMI,01D,311001033,9838345,ITNAP,Iniciada,362,Napoli,Palma de Mallorca,I,20-27,30200-1,2022-09-18,2022-09-18T05:10:00Z,Bahames,BALEARES CONSIGNATARIOS SL,C6EY2
2022,2252,DK,2022-09-19T08:00:00Z,JETTE THERESA,851,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:220624000,RECEPTORA DE LIQUIDOS SA,08:00:00,2022-09-18T06:00:00Z,2022-09-18,2022-09-19T06:00:00Z,Tancs,08:00:00,ITGOA,32E,220624000,9406582,ESVGO,Autoritzada,1296,Vigo,Genoa,A,1,38643-1,2022-09-19,2022-09-18T08:00:00Z,Dinamarca,IBERICA MARITIMA BARCELONA SA,OWBH2
2022,2252,IT,2022-09-19T04:00:00Z,IEVOLI SPRINT,645,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:247086400,RECEPTORA DE LIQUIDOS SA,04:00:00,2022-09-18T02:00:00Z,2022-09-18,2022-09-19T02:00:00Z,Tancs,04:00:00,ITGOA,32G,247086400,9263722,FRFOS,Autoritzada,999,Fos-sur-Mer,Genoa,A,1,38591-1,2022-09-19,2022-09-18T04:00:00Z,Itàlia,IBERICA MARITIMA BARCELONA SA,IBEO
2022,2252,LR,2022-09-19T18:00:00Z,FOREST PARK,971,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:636019720,RECEPTORA DE LIQUIDOS SA,18:00:00,2022-09-18T16:00:00Z,2022-09-18,2022-09-19T16:00:00Z,Tancs,18:00:00,NLRTM,32E,636019720,9640126,EGSUZ,Sol·licitada,141,El Suweis (= Suez),Rotterdam,S,NA,38593-1,2022-09-19,2022-09-18T18:00:00Z,Libèria,IBERICA MARITIMA BARCELONA SA,D5VV4
2022,2398,CY,2022-09-18T22:15:00Z,HYPATIA DE ALEJANDRIA,679,256,https://www.marinetraffic.com/en/ais/details/ships/mmsi:209462000,TERMINAL PORT NOU SA,17:00:00,2022-09-18T15:00:00Z,2022-09-18,2022-09-18T20:15:00Z,Transbordadors,22:15:00,ESPMI,01D,209462000,9498755,ESALD,Autoritzada,18646,Alcudia,Palma de Mallorca,A,1-4,38667-1,2022-09-18,2022-09-18T17:00:00Z,Xipre,BALEARIA EUROLINEAS MARITIMAS SA,5BDE5
2022,2398,MT,2022-09-18T22:01:00Z,BAHAMA MAMA,55,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:248218000,TERMINAL PORT NOU SA,08:00:00,2022-09-18T06:00:00Z,2022-09-18,2022-09-18T20:01:00Z,Transbordadors,22:01:00,ESIBZ,00A,248218000,9441142,ESALG,Autoritzada,15451,Algeciras,Ibiza,A,7-10,38668-1,2022-09-18,2022-09-18T08:00:00Z,Malta,BALEARIA EUROLINEAS MARITIMAS SA,9HA2263
2022,6154,PA,2022-09-19T14:00:00Z,ANTARES LEADER,973,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:355729000,AUTOTERMINAL SA,22:00:00,2022-09-18T20:00:00Z,2022-09-18,2022-09-19T12:00:00Z,Car-carrier,14:00:00,ITCVV,30C,355729000,9539169,SGSIN,Autoritzada,19999,Singapore,Civitavecchia,A,1-5,38191-1,2022-09-19,2022-09-18T22:00:00Z,Panamà,MARITIMA DEL MEDITERRANEO SA,HOVG
2022,6154,PT,2022-09-19T02:00:00Z,AUTO ENERGY,96,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:255805908,AUTOTERMINAL SA,04:37:00,2022-09-18T02:37:00Z,2022-09-18,2022-09-19T00:00:00Z,Car-carrier,02:00:00,ESVGO,31A,255805908,9736377,DEBRV,Iniciada,181,Bremerhaven,Vigo,I,2-6,38522-1,2022-09-19,2022-09-18T04:37:00Z,Portugal,MARITIMA DEL MEDITERRANEO SA,CQIA8
2022,6212,CY,2022-09-18T14:00:00Z,MAREN,851,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:305208000,TERMINAL CATALUNYA SA,01:00:00,2022-09-17T23:00:00Z,2022-09-18,2022-09-18T12:00:00Z,Portacontenidors,14:00:00,MAPTM,36A,305208000,9245677,FRMRS,Sol·licitada,1478,Marseille,Tanger Med,S,NA,37376-1,2022-09-18,2022-09-18T01:00:00Z,Xipre,CMA CGM IBERICA SAU,V2HQ4
2022,6212,CY,2022-09-18T23:00:00Z,RS LISA,747,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:210163000,TERMINAL CATALUNYA SA,06:01:00,2022-09-18T04:01:00Z,2022-09-18,2022-09-18T21:00:00Z,Portacontenidors,23:00:00,ITSPE,36A,210163000,9287704,ITSPE,Fondeig Previ,1375,La Spezia,La Spezia,P,27-29,38111-1,2022-09-18,2022-09-18T06:01:00Z,Xipre,MARITIMA DEL MEDITERRANEO SA,5BSJ5
