ANYESCALA,TERMINALCODI,VAIXELLBANDERACODI,ETD,VAIXELLNOM,CALAT_METRES,MANEGA_METRES,MESINFO,TERMINALNOM,ETAHORA,ETAUTC,ETADIA,ETDUTC,VAIXELLTIPUS,ETDHORA,PORTDESTICODI,MOLLCODI,MMSI,IMO,PORTORIGENCODI,ESCALAESTAT,ESLORA_METRES,PORTORIGENNOM,PORTDESTINOM,ESTOPERATIUID,MOLLMODULS,ESCALANUM,ETDDIA,ETA,VAIXELLBANDERANOM,CONSIGNATARI,CALLSIGN
2022,2252,IT,2022-09-19T04:00:00Z,IEVOLI SPRINT,645,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:247086400,RECEPTORA DE LIQUIDOS SA,10:58:00,2022-09-18T08:58:00Z,2022-09-18,2022-09-19T02:00:00Z,Tancs,04:00:00,ITGOA,32G,247086400,9263722,FRFOS,Iniciada,999,Fos-sur-Mer,Genoa,I,1,38591-1,2022-09-19,2022-09-18T10:58:00Z,Itàlia,IBERICA MARITIMA BARCELONA SA,IBEO
2022,2252,LR,2022-09-19T18:00:00Z,FOREST PARK,971,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:636019720,RECEPTORA DE LIQUIDOS SA,18:00:00,2022-09-18T16:00:00Z,2022-09-18,2022-09-19T16:00:00Z,Tancs,18:00:00,NLRTM,32E,636019720,9640126,EGSUZ,Sol·licitada,141,El Suweis (= Suez),Rotterdam,S,NA,38593-1,2022-09-19,2022-09-18T18:00:00Z,Libèria,IBERICA MARITIMA BARCELONA SA,D5VV4
2022,2256,MT,2022-09-19T08:00:00Z,MAINA,133,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:256112000,ERGRANSA SA,16:54:00,2022-09-16T14:54:00Z,2022-09-16,2022-09-19T06:00:00Z,Granelers,08:00:00,ZZZZZ,22B,256112000,9699892,ESCAS,Iniciada,1999,Castellon de la Plana,Desconegut,I,1-5,38509-1,2022-09-19,2022-09-16T16:54:00Z,Malta,ALFASHIP MARITIME SERVICES SL,9HA3821
2022,2398,CY,2022-09-19T22:15:00Z,HYPATIA DE ALEJANDRIA,679,256,https://www.marinetraffic.com/en/ais/details/ships/mmsi:209462000,TERMINAL PORT NOU SA,19:30:00,2022-09-19T17:30:00Z,2022-09-19,2022-09-19T20:15:00Z,Transbordadors,22:15:00,ESPMI,01D,209462000,9498755,ESPMI,Autoritzada,18646,Palma de Mallorca,Palma de Mallorca,A,1-4,38568-1,2022-09-19,2022-09-19T19:30:00Z,Xipre,BALEARIA EUROLINEAS MARITIMAS SA,5BDE5
2022,2398,DZ,2022-09-19T20:00:00Z,DJANET,95,2429,https://www.marinetraffic.com/en/ais/details/ships/mmsi:605086090,TERMINAL PORT NOU SA,06:59:00,2022-09-19T04:59:00Z,2022-09-19,2022-09-19T18:00:00Z,Portacontenidors,20:00:00,DZBJA,00A,605086090,9845063,FRMRS,Iniciada,1719,Marseille,Bejaia (ex Bougie),I,2-5,37942-2,2022-09-19,2022-09-19T06:59:00Z,Algèria,TRANSPORTES CONSIGNACION MARITIMAS SA,7THR
2022,2398,MT,2022-09-19T22:01:00Z,BAHAMA MAMA,55,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:248218000,TERMINAL PORT NOU SA,19:00:00,2022-09-19T17:00:00Z,2022-09-19,2022-09-19T20:01:00Z,Transbordadors,22:01:00,ESIBZ,00A,248218000,9441142,ESIBZ,Autoritzada,15451,Ibiza,Ibiza,A,7-10,38674-1,2022-09-19,2022-09-19T19:00:00Z,Malta,BALEARIA EUROLINEAS MARITIMAS SA,9HA2263
2022,6154,MT,2022-09-19T14:00:00Z,NEPTUNE ITHAKI,872,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:215587000,AUTOTERMINAL SA,03:00:00,2022-09-19T01:00:00Z,2022-09-19,2022-09-19T12:00:00Z,Car-carrier,14:00:00,ESVLC,31A,215587000,9440083,ESTAR,Autoritzada,16959,Tarragona,Valencia,A,3-6,38537-1,2022-09-19,2022-09-19T03:00:00Z,Malta,NEPTUNE BARCELONA SA,9HA2213
2022,6154,PA,2022-09-19T14:00:00Z,ANTARES LEADER,973,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:355729000,AUTOTERMINAL SA,22:00:00,2022-09-18T20:00:00Z,2022-09-18,2022-09-19T12:00:00Z,Car-carrier,14:00:00,ITCVV,30C,355729000,9539169,SGSIN,Autoritzada,19999,Singapore,Civitavecchia,A,1-5,38191-1,2022-09-19,2022-09-18T22:00:00Z,Panamà,MARITIMA DEL MEDITERRANEO SA,HOVG
2022,6154,PT,2022-09-19T01:19:00Z,AUTO ENERGY,96,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:255805908,AUTOTERMINAL SA,04:37:00,2022-09-18T02:37:00Z,2022-09-18,2022-09-18T23:19:00Z,Car-carrier,01:19:00,ESVGO,31A,255805908,9736377,DEBRV,Finalitzada,181,Bremerhaven,Vigo,F,2-6,38522-1,2022-09-19,2022-09-18T04:37:00Z,Portugal,MARITIMA DEL MEDITERRANEO SA,CQIA8
2022,6212,GR,2022-09-19T08:00:00Z,JAGUAR,93,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:241657000,TERMINAL CATALUNYA SA,22:47:00,2022-09-18T20:47:00Z,2022-09-18,2022-09-19T06:00:00Z,Portacontenidors,08:00:00,MATNG,36A,241657000,9127007,FRMRS,Iniciada,15712,Marseille,Tangier,I,22-25,38402-1,2022-09-19,2022-09-18T22:47:00Z,Grècia,CMA CGM IBERICA SAU,SVDE5
2022,6212,MA,2022-09-19T02:00:00Z,CMA CGM TANGER,851,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:242754300,TERMINAL CATALUNYA SA,13:00:00,2022-09-18T11:00:00Z,2022-09-18,2022-09-19T00:00:00Z,Portacontenidors,02:00:00,ESVLC,36A,242754300,9259836,MAPTM,Sol·licitada,1478,Tanger Med,Valencia,S,NA,38352-1,2022-09-19,2022-09-18T13:00:00Z,Marroc,CMA CGM IBERICA SAU,CNA5338
2022,6212,SG,2022-09-19T12:00:00Z,GREEN SEA,977,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:563102100,TERMINAL CATALUNYA SA,21:52:00,2022-09-18T19:52:00Z,2022-09-18,2022-09-19T10:00:00Z,Portacontenidors,12:00:00,ESVLC,36A,563102100,9865996,ITGOA,Iniciada,17207,Genoa,Valencia,I,26-30,38202-1,2022-09-19,2022-09-18T21:52:00Z,Singapur,A PEREZ Y CIA SL,9V6357
2022,6995,MT,2022-09-19T04:29:00Z,OZDEN-S,63,168,https://www.marinetraffic.com/en/ais/details/ships/mmsi:215253000,MEROIL SA,07:03:00,2022-09-18T05:03:00Z,2022-09-18,2022-09-19T02:29:00Z,Tancs,04:29:00,TNBIZ,32F,215253000,9338735,FRFOS,Finalitzada,1055,Fos-sur-Mer,Bizerte,F,1,38633-1,2022-09-19,2022-09-18T07:03:00Z,Malta,ALFASHIP MARITIME SERVICES SL,9HA5030
2022,7083,FR,2022-09-19T20:00:00Z,CMA CGM TITUS,15,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:228368900,APM TERMINALS BARCELONA  S L U,10:11:00,2022-09-18T08:11:00Z,2022-09-18,2022-09-19T18:00:00Z,Portacontenidors,20:00:00,FRFOS,24B,228368900,9450636,ESVLC,Iniciada,334,Valencia,Fos-sur-Mer,I,7-14,37527-1,2022-09-19,2022-09-18T10:11:00Z,França,CMA CGM IBERICA SAU,FLVP
2022,7259,DK,2022-09-19T06:00:00Z,ENDELO SWAN,604,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:219426000,TERMINALES PORTUARIAS SL,15:48:00,2022-09-18T13:48:00Z,2022-09-18,2022-09-19T04:00:00Z,Tancs,06:00:00,ESCAR,32E,219426000,9371725,ITGOA,Fondeig Previ,999,Genoa,Cartagena,P,NA,38644-1,2022-09-19,2022-09-18T15:48:00Z,Dinamarca,MH BLAND SL,OUYR2
2022,7332,CY,2022-09-19T16:30:00Z,CECILIA PAYNE,339,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:209122000,BALEARIA EUROLINEAS MARITIMAS SA,14:30:00,2022-09-19T12:30:00Z,2022-09-19,2022-09-19T14:30:00Z,Transbordadors,16:30:00,ESQIU,17B,209122000,9188881,ESQIU,Autoritzada,87,Ciudadela,Ciudadela,A,1-2,38451-1,2022-09-19,2022-09-19T14:30:00Z,Xipre,BALEARIA EUROLINEAS MARITIMAS SA,C4HR2
2022,7332,ES,2022-09-19T21:45:00Z,MARTIN I SOLER,57,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:224637000,BALEARIA EUROLINEAS MARITIMAS SA,19:00:00,2022-09-19T17:00:00Z,2022-09-19,2022-09-19T19:45:00Z,Transbordadors,21:45:00,ESALD,18A,224637000,9390367,ESALD,Autoritzada,165,Alcudia,Alcudia,A,1-4,38458-1,2022-09-19,2022-09-19T19:00:00Z,Espanya,BALEARIA EUROLINEAS MARITIMAS SA,EBZT
2022,7793,CY,2022-09-19T18:00:00Z,GUBAL TRADER,401,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:210117000,TERMINAL FERRY DE BARCELONA SRLU,08:00:00,2022-09-19T06:00:00Z,2022-09-19,2022-09-19T16:00:00Z,Transbordadors,18:00:00,ESPMI,19A,210117000,7802794,ESPMI,Autoritzada,139,Palma de Mallorca,Palma de Mallorca,A,3-5,38413-1,2022-09-19,2022-09-19T08:00:00Z,Xipre,GRIMALDI LOGISTICA ESPAÑA SL,5BQV5
