ANYESCALA,TERMINALCODI,VAIXELLBANDERACODI,ETD,VAIXELLNOM,CALAT_METRES,MANEGA_METRES,MESINFO,TERMINALNOM,ETAHORA,ETAUTC,ETADIA,ETDUTC,VAIXELLTIPUS,ETDHORA,PORTDESTICODI,MOLLCODI,MMSI,IMO,PORTORIGENCODI,ESCALAESTAT,ESLORA_METRES,PORTORIGENNOM,PORTDESTINOM,ESTOPERATIUID,MOLLMODULS,ESCALANUM,ETDDIA,ETA,VAIXELLBANDERANOM,CONSIGNATARI,CALLSIGN
2021,B,BS,2022-10-14T17:00:00Z,VISION OF THE SEAS,79,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:311321000,ADOSSAT/TERMINAL B,05:49:00,2022-10-14T03:49:00Z,2022-10-14,2022-10-14T15:00:00Z,Passatge,17:00:00,FRSET,01D,311321000,9116876,ESPMI,Iniciada,279,Palma de Mallorca,Sete,I,24-29,29492-1,2022-10-14,2022-10-14T05:49:00Z,Bahames,BALEARES CONSIGNATARIOS SL,C6SE8
2022,2252,IT,2022-10-15T03:00:00Z,LUCA IEVOLI,645,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:247069600,RECEPTORA DE LIQUIDOS SA,03:00:00,2022-10-14T01:00:00Z,2022-10-14,2022-10-15T01:00:00Z,Tancs,03:00:00,ITAUG,32G,247069600,9250086,ITGOA,Autoritzada,999,Genoa,Augusta,A,1,39252-1,2022-10-15,2022-10-14T03:00:00Z,Itàlia,IBERICA MARITIMA BARCELONA SA,IBFD
2022,2252,LR,2022-10-15T07:00:00Z,GREENWICH PARK,953,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:636015164,RECEPTORA DE LIQUIDOS SA,07:00:00,2022-10-14T05:00:00Z,2022-10-14,2022-10-15T05:00:00Z,Tancs,07:00:00,NLRTM,32E,636015164,9505998,EGSUZ,Autoritzada,14619,El Suweis (= Suez),Rotterdam,A,1,39267-1,2022-10-15,2022-10-14T07:00:00Z,Libèria,IBERICA MARITIMA BARCELONA SA,A8YZ9
2022,2252,TR,2022-10-14T12:00:00Z,FERICEK,78,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:271046574,RECEPTORA DE LIQUIDOS SA,03:44:00,2022-10-14T01:44:00Z,2022-10-14,2022-10-14T10:00:00Z,Tancs,12:00:00,MAJFL,32E,271046574,9125267,FRMRS,Iniciada,126,Marseille,Jorf Lasfar,I,1,39290-1,2022-10-14,2022-10-14T03:44:00Z,Turquia,ALFASHIP MARITIME SERVICES SL,TCA5362
2022,2256,PA,2022-10-21T11:59:00Z,BUNUN WISDOM,1054,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:356822000,ERGRANSA SA,18:00:00,2022-10-14T16:00:00Z,2022-10-14,2022-10-21T09:59:00Z,Granelers,11:59:00,ZZZZZ,22B,356822000,9628568,BGVAR,Sol·licitada,17997,Varna,Desconegut,S,NA,39256-1,2022-10-21,2022-10-14T18:00:00Z,Panamà,ALFASHIP MARITIME SERVICES SL,3FWR5
2022,2398,CY,2022-10-14T22:01:00Z,DENIA CIUTAT CREATIVA,602,234,https://www.marinetraffic.com/en/ais/details/ships/mmsi:210133000,TERMINAL PORT NOU SA,19:00:00,2022-10-14T17:00:00Z,2022-10-14,2022-10-14T20:01:00Z,Transbordadors,22:01:00,ESIBZ,01D,210133000,9019054,ESIBZ,Autoritzada,15043,Ibiza,Ibiza,A,1-3,39107-1,2022-10-14,2022-10-14T19:00:00Z,Xipre,BALEARIA EUROLINEAS MARITIMAS SA,5BRU3
2022,2398,CY,2022-10-14T22:15:00Z,HYPATIA DE ALEJANDRIA,679,256,https://www.marinetraffic.com/en/ais/details/ships/mmsi:209462000,TERMINAL PORT NOU SA,19:30:00,2022-10-14T17:30:00Z,2022-10-14,2022-10-14T20:15:00Z,Transbordadors,22:15:00,ESPMI,00A,209462000,9498755,ESPMI,Autoritzada,18646,Palma de Mallorca,Palma de Mallorca,A,6-10,39097-1,2022-10-14,2022-10-14T19:30:00Z,Xipre,BALEARIA EUROLINEAS MARITIMAS SA,5BDE5
2022,2398,LR,2022-10-15T08:00:00Z,MAX,775,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:636020515,TERMINAL PORT NOU SA,18:00:00,2022-10-14T16:00:00Z,2022-10-14,2022-10-15T06:00:00Z,Càrrega (Lo-Lo),08:00:00,ITGOA,00A,636020515,9351098,ESCAS,Confirmada,127,Castellon de la Plana,Genoa,C,NA,39075-1,2022-10-15,2022-10-14T18:00:00Z,Libèria,BERGE MARITIMA SL,D5ZO2
2022,6154,MT,2022-10-14T15:00:00Z,NEPTUNE KEFALONIA,872,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:215588000,AUTOTERMINAL SA,04:00:00,2022-10-14T02:00:00Z,2022-10-14,2022-10-14T13:00:00Z,Car-carrier,15:00:00,TNLGN,31A,215588000,9438717,FRFOS,Sol·licitada,16959,Fos-sur-Mer,La Goulette Nord (Halqueloued),S,NA,39254-1,2022-10-14,2022-10-14T04:00:00Z,Malta,NEPTUNE BARCELONA SA,9HA2117
2022,6154,MT,2022-10-15T02:00:00Z,NEPTUNE HELLAS,87,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:256575000,AUTOTERMINAL SA,11:00:00,2022-10-14T09:00:00Z,2022-10-14,2022-10-15T00:00:00Z,Car-carrier,02:00:00,ESTAR,30C,256575000,9440148,FRSET,Autoritzada,16806,Sete,Tarragona,A,1-4,39258-1,2022-10-15,2022-10-14T11:00:00Z,Malta,NEPTUNE BARCELONA SA,9HA3957
