ANYESCALA,TERMINALCODI,VAIXELLBANDERACODI,ETD,VAIXELLNOM,CALAT_METRES,MANEGA_METRES,MESINFO,TERMINALNOM,ETAHORA,ETAUTC,ETADIA,ETDUTC,VAIXELLTIPUS,ETDHORA,PORTDESTICODI,MOLLCODI,MMSI,IMO,PORTORIGENCODI,ESCALAESTAT,ESLORA_METRES,PORTORIGENNOM,PORTDESTINOM,ESTOPERATIUID,MOLLMODULS,ESCALANUM,ETDDIA,ETA,VAIXELLBANDERANOM,CONSIGNATARI,CALLSIGN
2021,S,FR,2022-10-08T19:30:00Z,LE CHAMPLAIN,47,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:578001100,BARCELONA/TERMINAL SUD,06:52:00,2022-10-08T04:52:00Z,2022-10-08,2022-10-08T17:30:00Z,Passatge,19:30:00,ESPMI,18C,578001100,9814038,ESVLC,Iniciada,131,Valencia,Palma de Mallorca,I,2-5,31139-1,2022-10-08,2022-10-08T06:52:00Z,França,MARITIMA DEL MEDITERRANEO SA,FLBP
2022,0010,MT,2022-10-09T22:30:00Z,RED GARNET,1332,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:256391000,CIA LOGISTICA DE HIDROCARBUROS SA,05:18:00,2022-10-08T03:18:00Z,2022-10-08,2022-10-09T20:30:00Z,Tancs,22:30:00,ESTAR,26A,256391000,9694359,ESTAR,Iniciada,18312,Tarragona,Tarragona,I,3-7,39239-1,2022-10-09,2022-10-08T05:18:00Z,Malta,NEXT MARITIME SL,9HA3899
2022,0014,PT,2022-10-11T15:00:00Z,CORNION,6,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:255803370,COMA Y RIBAS SL,12:01:00,2022-10-08T10:01:00Z,2022-10-08,2022-10-11T13:00:00Z,Càrrega (Lo-Lo),15:00:00,ZZZZZ,22C,255803370,9360491,ITPIO,Fondeig Previ,895,Piombino,Desconegut,P,5-6,39081-1,2022-10-11,2022-10-08T12:01:00Z,Portugal,ITALMAR 3000 SL,CQMH
2022,0050,CY,2022-10-11T21:00:00Z,MANDARIN,97,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:210464000,TRAFICO DE MERCANCIAS SA,12:00:00,2022-10-08T10:00:00Z,2022-10-08,2022-10-11T19:00:00Z,Granelers,21:00:00,GBTIL,26A,210464000,9239812,ITGOA,Iniciada,1864,Genoa,Tilbury,I,13-17,39088-1,2022-10-11,2022-10-08T12:00:00Z,Xipre,ERSHIP SA,P3NV9
2022,2252,SG,2022-10-09T04:00:00Z,MTM AMAZON,1132,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:563106700,RECEPTORA DE LIQUIDOS SA,00:00:00,2022-10-07T22:00:00Z,2022-10-08,2022-10-09T02:00:00Z,Tancs,04:00:00,TRTUZ,32E,563106700,9374533,PTTUN,Sol·licitada,170,Tunes,Tuzla,S,NA,38942-1,2022-10-09,2022-10-08T00:00:00Z,Singapur,IBERICA MARITIMA BARCELONA SA,9V6815
2022,2398,CY,2022-10-09T22:15:00Z,HYPATIA DE ALEJANDRIA,679,256,https://www.marinetraffic.com/en/ais/details/ships/mmsi:209462000,TERMINAL PORT NOU SA,19:30:00,2022-10-08T17:30:00Z,2022-10-08,2022-10-09T20:15:00Z,Transbordadors,22:15:00,ESPMI,30A,209462000,9498755,ESPMI,Autoritzada,18646,Palma de Mallorca,Palma de Mallorca,A,3-7,38972-1,2022-10-09,2022-10-08T19:30:00Z,Xipre,BALEARIA EUROLINEAS MARITIMAS SA,5BDE5
2022,2398,ES,2022-10-08T22:00:00Z,MARTIN I SOLER,57,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:224637000,TERMINAL PORT NOU SA,19:00:00,2022-10-08T17:00:00Z,2022-10-08,2022-10-08T20:00:00Z,Transbordadors,22:00:00,ESALD,00A,224637000,9390367,ESALD,Autoritzada,165,Alcudia,Alcudia,A,6-10,38956-1,2022-10-08,2022-10-08T19:00:00Z,Espanya,BALEARIA EUROLINEAS MARITIMAS SA,EBZT
2022,6037,FR,2022-10-10T00:00:00Z,HYDRA,7,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:228366800,DECAL ESPAÑA SA,00:01:00,2022-10-07T22:01:00Z,2022-10-08,2022-10-09T22:00:00Z,Tancs,00:00:00,FRNOU,32A,228366800,9837341,FRAJA,Fondeig Previ,116,Ajaccio,Port-la-Nouvelle,P,NA,39150-1,2022-10-10,2022-10-08T00:01:00Z,França,MH BLAND SL,FLUT
2022,6154,MT,2022-10-08T17:00:00Z,NEPTUNE AEGLI,64,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:215170000,AUTOTERMINAL SA,11:00:00,2022-10-08T09:00:00Z,2022-10-08,2022-10-08T15:00:00Z,Car-carrier,17:00:00,FRSET,31A,215170000,9240964,MAPTM,Autoritzada,158,Tanger Med,Sete,A,3-6,38598-1,2022-10-08,2022-10-08T11:00:00Z,Malta,NEPTUNE BARCELONA SA,9HEX7
2022,6212,CY,2022-10-08T20:00:00Z,RS LISA,747,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:210163000,TERMINAL CATALUNYA SA,06:01:00,2022-10-08T04:01:00Z,2022-10-08,2022-10-08T18:00:00Z,Portacontenidors,20:00:00,ITSPE,36A,210163000,9287704,ITSPE,Fondeig Previ,1375,La Spezia,La Spezia,P,22-25,38909-1,2022-10-08,2022-10-08T06:01:00Z,Xipre,MARITIMA DEL MEDITERRANEO SA,5BSJ5
