ANYESCALA,TERMINALCODI,VAIXELLBANDERACODI,ETD,VAIXELLNOM,CALAT_METRES,MANEGA_METRES,MESINFO,TERMINALNOM,ETAHORA,ETAUTC,ETADIA,ETDUTC,VAIXELLTIPUS,ETDHORA,PORTDESTICODI,MOLLCODI,MMSI,IMO,PORTORIGENCODI,ESCALAESTAT,ESLORA_METRES,PORTORIGENNOM,PORTDESTINOM,ESTOPERATIUID,MOLLMODULS,ESCALANUM,ETDDIA,ETA,VAIXELLBANDERANOM,CONSIGNATARI,CALLSIGN
2021,B,BS,2022-09-10T17:00:00Z,VISION OF THE SEAS,79,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:311321000,ADOSSAT/TERMINAL B,05:57:00,2022-09-10T03:57:00Z,2022-09-10,2022-09-10T15:00:00Z,Passatge,17:00:00,FRNCE,01D,311321000,9116876,ESVLC,Iniciada,279,Valencia,Nice,I,24-29,29487-1,2022-09-10,2022-09-10T05:57:00Z,Bahames,BALEARES CONSIGNATARIOS SL,C6SE8
2022,2398,CY,2022-09-10T23:00:00Z,HYPATIA DE ALEJANDRIA,679,256,https://www.marinetraffic.com/en/ais/details/ships/mmsi:209462000,TERMINAL PORT NOU SA,19:30:00,2022-09-10T17:30:00Z,2022-09-10,2022-09-10T21:00:00Z,Transbordadors,23:00:00,ESQIU,01D,209462000,9498755,ESPMI,Autoritzada,18646,Palma de Mallorca,Ciudadela,A,1-4,38332-1,2022-09-10,2022-09-10T19:30:00Z,Xipre,BALEARIA EUROLINEAS MARITIMAS SA,5BDE5
2022,6154,KR,2022-09-10T21:00:00Z,GLOVIS CHALLENGE,1002,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:441190000,AUTOTERMINAL SA,11:18:00,2022-09-09T09:18:00Z,2022-09-09,2022-09-10T19:00:00Z,Car-carrier,21:00:00,DEBRV,30C,441190000,9590591,SGSIN,Iniciada,19998,Singapore,Bremerhaven,I,1-5,37920-1,2022-09-10,2022-09-09T11:18:00Z,Corea del Sud,BERGE MARITIMA SL,D8GI
2022,6154,LR,2022-09-10T18:00:00Z,MORNING CORNET,10,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:636018238,AUTOTERMINAL SA,05:00:00,2022-09-10T03:00:00Z,2022-09-10,2022-09-10T16:00:00Z,Ro-Ro,18:00:00,BEANR,30C,636018238,9329473,SGSIN,Sol·licitada,19998,Singapore,Anvers,S,NA,37778-1,2022-09-10,2022-09-10T05:00:00Z,Libèria,BERGE MARITIMA SL,D5OU4
2022,6212,LR,2022-09-10T02:00:00Z,CONTSHIP FUN,88,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:636019053,TERMINAL CATALUNYA SA,23:01:00,2022-09-09T21:01:00Z,2022-09-09,2022-09-10T00:00:00Z,Portacontenidors,02:00:00,FRMRS,36A,636019053,9308613,MTMAR,Iniciada,139,Marsaxlokk,Marseille,I,27-30,37856-1,2022-09-10,2022-09-09T23:01:00Z,Libèria,CMA CGM IBERICA SAU,D5SS6
2022,6212,MT,2022-09-10T20:00:00Z,VASSILIS A,825,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:229825000,TERMINAL CATALUNYA SA,06:00:00,2022-09-10T04:00:00Z,2022-09-10,2022-09-10T18:00:00Z,Portacontenidors,20:00:00,ESVLC,36A,229825000,9356672,FRMRS,Autoritzada,1464,Marseille,Valencia,A,21-24,37992-1,2022-09-10,2022-09-10T06:00:00Z,Malta,CMA CGM IBERICA SAU,9HA3644
2022,6212,PA,2022-09-10T05:06:00Z,MSC LUCY,145,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:371059000,TERMINAL CATALUNYA SA,21:43:00,2022-09-08T19:43:00Z,2022-09-08,2022-09-10T03:06:00Z,Portacontenidors,05:06:00,ESVLC,36A,371059000,9289104,SAKAC,Finalitzada,325,King Abdullah City,Valencia,F,8-15,37803-1,2022-09-10,2022-09-08T21:43:00Z,Panamà,MEDITERRANEAN SHIPPING COM ESPAÑA SLU,3EBC5
2022,6212,PT,2022-09-10T01:49:00Z,MSC ANNE F,88,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:255806190,TERMINAL CATALUNYA SA,07:08:00,2022-09-09T05:08:00Z,2022-09-09,2022-09-09T23:49:00Z,Portacontenidors,01:49:00,FRFOS,36A,255806190,9347803,DZAAE,Finalitzada,13914,Annaba (ex Bone),Fos-sur-Mer,F,4-7,38283-1,2022-09-10,2022-09-09T07:08:00Z,Portugal,MEDITERRANEAN SHIPPING COM ESPAÑA SLU,CQAJ4
2022,6212,PT,2022-09-10T18:00:00Z,MACAO,107,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:255805611,TERMINAL CATALUNYA SA,06:00:00,2022-09-10T04:00:00Z,2022-09-10,2022-09-10T16:00:00Z,Portacontenidors,18:00:00,FRFOS,36A,255805611,9362724,ESALG,Autoritzada,17969,Algeciras,Fos-sur-Mer,A,26-29,38068-1,2022-09-10,2022-09-10T06:00:00Z,Portugal,MARITIMA DEL MEDITERRANEO SA,CQFJ
2022,6817,BS,2022-09-10T07:59:00Z,LYRIC MAGNOLIA,1466,44,https://www.marinetraffic.com/en/ais/details/ships/mmsi:311000360,TERMINALES QUIMICOS SA,02:55:00,2022-09-10T00:55:00Z,2022-09-10,2022-09-10T05:59:00Z,Petroliers,07:59:00,MAJFL,34B,311000360,9734408,EGSUZ,Iniciada,2499,El Suweis (= Suez),Jorf Lasfar,I,1,38299-1,2022-09-10,2022-09-10T02:55:00Z,Bahames,MH BLAND SL,C6BT6
