ANYESCALA,TERMINALCODI,VAIXELLBANDERACODI,ETD,VAIXELLNOM,CALAT_METRES,MANEGA_METRES,MESINFO,TERMINALNOM,ETAHORA,ETAUTC,ETADIA,ETDUTC,VAIXELLTIPUS,ETDHORA,PORTDESTICODI,MOLLCODI,MMSI,IMO,PORTORIGENCODI,ESCALAESTAT,ESLORA_METRES,PORTORIGENNOM,PORTDESTINOM,ESTOPERATIUID,MOLLMODULS,ESCALANUM,ETDDIA,ETA,VAIXELLBANDERANOM,CONSIGNATARI,CALLSIGN
2021,S,MT,2022-09-30T17:00:00Z,AZAMARA PURSUIT,595,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:248762000,BARCELONA/TERMINAL SUD,05:34:00,2022-09-30T03:34:00Z,2022-09-30,2022-09-30T15:00:00Z,Passatge,17:00:00,MCMON,18C,248762000,9210220,ESVLC,Iniciada,181,Valencia,Monaco,I,1-5,29648-1,2022-09-30,2022-09-30T05:34:00Z,Malta,BALEARES CONSIGNATARIOS SL,9HA4800
2022,0050,MH,2022-09-30T22:00:00Z,YALOUSSA,982,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:538010147,TRAFICO DE MERCANCIAS SA,06:59:00,2022-09-27T04:59:00Z,2022-09-27,2022-09-30T20:00:00Z,Granelers,22:00:00,BRSTM,26A,538010147,9464546,PTAVE,Iniciada,16937,Aveiro,Santarem,I,13-16,38881-1,2022-09-30,2022-09-27T06:59:00Z,Illes Marshall,ERSHIP SA,V7A5676
2022,0050,PT,2022-09-30T22:00:00Z,TEJO ALGES,564,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:255805994,TRAFICO DE MERCANCIAS SA,23:29:00,2022-09-29T21:29:00Z,2022-09-29,2022-09-30T20:00:00Z,Càrrega (Lo-Lo),22:00:00,ESHUV,26A,255805994,9240251,ESCAR,Iniciada,8999,Cartagena,Huelva,I,18-19,38993-1,2022-09-30,2022-09-29T23:29:00Z,Portugal,ERSHIP SA,CQIL6
2022,2376,IE,2022-09-30T14:00:00Z,ARKLOW ACE,719,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:250005913,PORTCEMEN SA,15:42:00,2022-09-29T13:42:00Z,2022-09-29,2022-09-30T12:00:00Z,Càrrega (Lo-Lo),14:00:00,FRFOS,22C,250005913,9851957,ESCAR,Iniciada,12045,Cartagena,Fos-sur-Mer,I,2-4,38787-1,2022-09-30,2022-09-29T15:42:00Z,Irlanda,COMA Y RIBAS SL,EIWR7
2022,2398,CY,2022-09-30T22:15:00Z,HYPATIA DE ALEJANDRIA,679,256,https://www.marinetraffic.com/en/ais/details/ships/mmsi:209462000,TERMINAL PORT NOU SA,19:30:00,2022-09-30T17:30:00Z,2022-09-30,2022-09-30T20:15:00Z,Transbordadors,22:15:00,ESPMI,01D,209462000,9498755,ESPMI,Autoritzada,18646,Palma de Mallorca,Palma de Mallorca,A,1-4,38807-1,2022-09-30,2022-09-30T19:30:00Z,Xipre,BALEARIA EUROLINEAS MARITIMAS SA,5BDE5
2022,2398,VU,2022-09-30T20:00:00Z,AIPP GOLD,649,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:577516000,TERMINAL PORT NOU SA,06:00:00,2022-09-30T04:00:00Z,2022-09-30,2022-09-30T18:00:00Z,Càrrega (Lo-Lo),20:00:00,MACAS,00A,577516000,9221475,ESVLC,Sol·licitada,10055,Valencia,Casablanca,S,NA,38592-1,2022-09-30,2022-09-30T06:00:00Z,Vanuatu,A PEREZ Y CIA SL,YJXC6
2022,6037,IT,2022-09-30T18:00:00Z,DOMENICO IEVOLI,822,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:247355500,DECAL ESPAÑA SA,23:21:00,2022-09-29T21:21:00Z,2022-09-29,2022-09-30T16:00:00Z,Tancs,18:00:00,ITMNP,32C,247355500,9334430,ITVSO,Iniciada,11837,Vasto,Monopoli,I,1,38904-1,2022-09-30,2022-09-29T23:21:00Z,Itàlia,ALFASHIP MARITIME SERVICES SL,IBJV
2022,6154,MT,2022-09-30T15:00:00Z,NEPTUNE KEFALONIA,872,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:215588000,AUTOTERMINAL SA,04:23:00,2022-09-30T02:23:00Z,2022-09-30,2022-09-30T13:00:00Z,Car-carrier,15:00:00,MAPTM,30A,215588000,9438717,FRSET,Iniciada,16959,Sete,Tanger Med,I,4-7,38903-1,2022-09-30,2022-09-30T04:23:00Z,Malta,NEPTUNE BARCELONA SA,9HA2117
2022,6154,MT,2022-09-30T20:00:00Z,SEBRING,922,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:215876000,AUTOTERMINAL SA,21:58:00,2022-09-29T19:58:00Z,2022-09-29,2022-09-30T18:00:00Z,Car-carrier,20:00:00,GBSOU,31A,215876000,9434321,SGSIN,Iniciada,180,Singapore,Southampton,I,3-6,38637-1,2022-09-30,2022-09-29T21:58:00Z,Malta,MARITIMA DEL MEDITERRANEO SA,9HA5344
2022,6154,PA,2022-09-30T14:00:00Z,AZUL ACE,973,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:372424000,AUTOTERMINAL SA,00:20:00,2022-09-29T22:20:00Z,2022-09-30,2022-09-30T12:00:00Z,Car-carrier,14:00:00,NLRTM,30C,372424000,9889100,GRPIR,Iniciada,19996,Piraeus,Rotterdam,I,1-5,37983-1,2022-09-30,2022-09-30T00:20:00Z,Panamà,TRANSPORTES CONSIGNACION MARITIMAS SA,HPGP
