ANYESCALA,TERMINALCODI,VAIXELLBANDERACODI,ETD,VAIXELLNOM,CALAT_METRES,MANEGA_METRES,MESINFO,TERMINALNOM,ETAHORA,ETAUTC,ETADIA,ETDUTC,VAIXELLTIPUS,ETDHORA,PORTDESTICODI,MOLLCODI,MMSI,IMO,PORTORIGENCODI,ESCALAESTAT,ESLORA_METRES,PORTORIGENNOM,PORTDESTINOM,ESTOPERATIUID,MOLLMODULS,ESCALANUM,ETDDIA,ETA,VAIXELLBANDERANOM,CONSIGNATARI,CALLSIGN
2021,B,BS,2022-09-02T17:00:00Z,VISION OF THE SEAS,79,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:311321000,ADOSSAT/TERMINAL B,06:01:00,2022-09-02T04:01:00Z,2022-09-02,2022-09-02T15:00:00Z,Passatge,17:00:00,FRSET,01D,311321000,9116876,ITPMO,Iniciada,279,Palermo,Sete,I,24-29,29486-1,2022-09-02,2022-09-02T06:01:00Z,Bahames,BALEARES CONSIGNATARIOS SL,C6SE8
2022,0014,LV,2022-09-02T16:00:00Z,MOONRAY,37,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:275488000,COMA Y RIBAS SL,06:00:00,2022-09-02T04:00:00Z,2022-09-02,2022-09-02T14:00:00Z,Càrrega (Lo-Lo),16:00:00,FRLIO,23A,275488000,9234410,ESALD,Autoritzada,88,Alcudia,Lyon,A,1-2,38219-1,2022-09-02,2022-09-02T06:00:00Z,Letònia,TRANSITAINER SA,YLOU
2022,2252,SG,2022-09-02T02:17:00Z,CHEMICAL MARINER,881,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:565544000,RECEPTORA DE LIQUIDOS SA,02:15:00,2022-09-02T00:15:00Z,2022-09-02,2022-09-02T00:17:00Z,Tancs,02:17:00,TRGEB,32E,565544000,9558971,NLRTM,Iniciada,13416,Rotterdam,Gebze,I,1,38117-1,2022-09-02,2022-09-02T02:15:00Z,Singapur,ALFASHIP MARITIME SERVICES SL,9V7965
2022,2398,CY,2022-09-02T21:45:00Z,HYPATIA DE ALEJANDRIA,679,256,https://www.marinetraffic.com/en/ais/details/ships/mmsi:209462000,TERMINAL PORT NOU SA,19:30:00,2022-09-02T17:30:00Z,2022-09-02,2022-09-02T19:45:00Z,Transbordadors,21:45:00,ESALD,00A,209462000,9498755,ESPMI,Autoritzada,18646,Palma de Mallorca,Alcudia,A,6-10,38037-1,2022-09-02,2022-09-02T19:30:00Z,Xipre,BALEARIA EUROLINEAS MARITIMAS SA,5BDE5
2022,2398,ES,2022-09-02T22:15:00Z,ABEL MATUTES,63,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:224402000,TERMINAL PORT NOU SA,19:00:00,2022-09-02T17:00:00Z,2022-09-02,2022-09-02T20:15:00Z,Transbordadors,22:15:00,ESPMI,01D,224402000,9441130,ESALD,Autoritzada,190,Alcudia,Palma de Mallorca,A,1-4,38030-1,2022-09-02,2022-09-02T19:00:00Z,Espanya,BALEARIA EUROLINEAS MARITIMAS SA,ECPD
2022,6037,LR,2022-09-02T16:00:00Z,VOGE DIGNITY,116,274,https://www.marinetraffic.com/en/ais/details/ships/mmsi:636091700,DECAL ESPAÑA SA,21:53:00,2022-09-01T19:53:00Z,2022-09-01,2022-09-02T14:00:00Z,Tancs,16:00:00,NLRTM,34B,636091700,9420851,NLRTM,Iniciada,1829,Rotterdam,Rotterdam,I,1,37929-4,2022-09-02,2022-09-01T21:53:00Z,Libèria,E ERHARDT Y CIA SA,A8RQ9
2022,6037,MT,2022-09-02T15:00:00Z,HABIP BAYRAK,72,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:229674000,DECAL ESPAÑA SA,16:54:00,2022-09-01T14:54:00Z,2022-09-01,2022-09-02T13:00:00Z,Tancs,15:00:00,ITNAP,32A,229674000,9458183,ITGAE,Iniciada,12325,Gaeta,Napoli,I,1,38120-1,2022-09-02,2022-09-01T16:54:00Z,Malta,IBERICA MARITIMA BARCELONA SA,9HA5554
2022,6154,JP,2022-09-02T03:47:00Z,ORCHID ACE,973,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:432651000,AUTOTERMINAL SA,18:53:00,2022-09-01T16:53:00Z,2022-09-01,2022-09-02T01:47:00Z,Ro-Ro,03:47:00,NLRTM,31A,432651000,9381677,ITLIV,Finalitzada,19999,Livorno,Rotterdam,F,2-6,37045-1,2022-09-02,2022-09-01T18:53:00Z,Japó,TRANSPORTES CONSIGNACION MARITIMAS SA,7JDE
2022,6154,MH,2022-09-02T16:30:00Z,NEPTUNE AVRA,662,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:538009923,AUTOTERMINAL SA,03:00:00,2022-09-02T01:00:00Z,2022-09-02,2022-09-02T14:30:00Z,Car-carrier,16:30:00,ITLIV,31A,538009923,8807155,FRFOS,Sol·licitada,155,Fos-sur-Mer,Livorno,S,NA,38138-1,2022-09-02,2022-09-02T03:00:00Z,Illes Marshall,NEPTUNE BARCELONA SA,V7A5346
2022,6154,MH,2022-09-02T20:00:00Z,VIKING CONSTANZA,641,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:538009722,AUTOTERMINAL SA,17:43:00,2022-09-01T15:43:00Z,2022-09-01,2022-09-02T18:00:00Z,Car-carrier,20:00:00,PTSET,31B,538009722,9407689,ITLIV,Iniciada,140,Livorno,Setubal,I,1-3,37520-1,2022-09-02,2022-09-01T17:43:00Z,Illes Marshall,TRANSPORTES CONSIGNACION MARITIMAS SA,V7A5085
