ANYESCALA,TERMINALCODI,VAIXELLBANDERACODI,ETD,VAIXELLNOM,CALAT_METRES,MANEGA_METRES,MESINFO,TERMINALNOM,ETAHORA,ETAUTC,ETADIA,ETDUTC,VAIXELLTIPUS,ETDHORA,PORTDESTICODI,MOLLCODI,MMSI,IMO,PORTORIGENCODI,ESCALAESTAT,ESLORA_METRES,PORTORIGENNOM,PORTDESTINOM,ESTOPERATIUID,MOLLMODULS,ESCALANUM,ETDDIA,ETA,VAIXELLBANDERANOM,CONSIGNATARI,CALLSIGN
2021,B,MT,2022-09-29T19:00:00Z,CELEBRITY EDGE,823,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:248325000,ADOSSAT/TERMINAL B,10:42:00,2022-09-28T08:42:00Z,2022-09-28,2022-09-29T17:00:00Z,Passatge,19:00:00,ESPMI,01D,248325000,9812705,FRCEQ,Iniciada,306,Cannes,Palma de Mallorca,I,23-29,29506-1,2022-09-29,2022-09-28T10:42:00Z,Malta,BALEARES CONSIGNATARIOS SL,9HA4612
2022,0014,MT,2022-09-29T23:00:00Z,FOX,671,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:256678000,COMA Y RIBAS SL,10:24:00,2022-09-21T08:24:00Z,2022-09-21,2022-09-29T21:00:00Z,Granelers,23:00:00,FRFOS,22C,256678000,9452452,ILASH,Iniciada,11995,Ashdod,Fos-sur-Mer,I,6-8,38579-1,2022-09-29,2022-09-21T10:24:00Z,Malta,COMA Y RIBAS SL,9HAE9
2022,2398,CY,2022-09-29T22:15:00Z,HYPATIA DE ALEJANDRIA,679,256,https://www.marinetraffic.com/en/ais/details/ships/mmsi:209462000,TERMINAL PORT NOU SA,19:30:00,2022-09-29T17:30:00Z,2022-09-29,2022-09-29T20:15:00Z,Transbordadors,22:15:00,ESPMI,01D,209462000,9498755,ESPMI,Autoritzada,18646,Palma de Mallorca,Palma de Mallorca,A,1-4,38806-1,2022-09-29,2022-09-29T19:30:00Z,Xipre,BALEARIA EUROLINEAS MARITIMAS SA,5BDE5
2022,2398,MT,2022-09-29T22:01:00Z,BAHAMA MAMA,55,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:248218000,TERMINAL PORT NOU SA,19:00:00,2022-09-29T17:00:00Z,2022-09-29,2022-09-29T20:01:00Z,Transbordadors,22:01:00,ESIBZ,00A,248218000,9441142,ESIBZ,Autoritzada,15451,Ibiza,Ibiza,A,7-10,38820-1,2022-09-29,2022-09-29T19:00:00Z,Malta,BALEARIA EUROLINEAS MARITIMAS SA,9HA2263
2022,6154,MT,2022-09-29T21:00:00Z,NEPTUNE KEFALONIA,872,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:215588000,AUTOTERMINAL SA,11:00:00,2022-09-29T09:00:00Z,2022-09-29,2022-09-29T19:00:00Z,Car-carrier,21:00:00,MAPTM,31A,215588000,9438717,FRSET,Sol·licitada,16959,Sete,Tanger Med,S,NA,38903-1,2022-09-29,2022-09-29T11:00:00Z,Malta,NEPTUNE BARCELONA SA,9HA2117
2022,6212,CY,2022-09-29T14:00:00Z,MAREN,851,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:305208000,TERMINAL CATALUNYA SA,01:00:00,2022-09-28T23:00:00Z,2022-09-29,2022-09-29T12:00:00Z,Portacontenidors,14:00:00,MAPTM,36A,305208000,9245677,FRMRS,Sol·licitada,1478,Marseille,Tanger Med,S,NA,37376-1,2022-09-29,2022-09-29T01:00:00Z,Xipre,CMA CGM IBERICA SAU,V2HQ4
2022,6212,PA,2022-09-29T07:45:00Z,MSC CORCOVADO III,114,NA,NA,TERMINAL CATALUNYA SA,17:59:00,2022-09-28T15:59:00Z,2022-09-28,2022-09-29T05:45:00Z,Portacontenidors,07:45:00,ESVLC,36A,NA,9241463,ITSPE,Iniciada,2074,La Spezia,Valencia,I,13-17,38757-1,2022-09-29,2022-09-28T17:59:00Z,Panamà,MEDITERRANEAN SHIPPING COM ESPAÑA SLU,3E3603
2022,6212,PA,2022-09-29T14:45:00Z,MSC LEVANTE F,85,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:352898711,TERMINAL CATALUNYA SA,08:15:00,2022-09-29T06:15:00Z,2022-09-29,2022-09-29T12:45:00Z,Portacontenidors,14:45:00,DZSKI,36A,352898711,9330264,ESVLC,Autoritzada,14781,Valencia,Skikda (ex Philippeville),A,22-25,38803-1,2022-09-29,2022-09-29T08:15:00Z,Panamà,MEDITERRANEAN SHIPPING COM ESPAÑA SLU,3E2007
2022,6212,SG,2022-09-29T14:00:00Z,ATLANTIC GENEVA,851,NA,NA,TERMINAL CATALUNYA SA,00:00:00,2022-09-28T22:00:00Z,2022-09-29,2022-09-29T12:00:00Z,Portacontenidors,14:00:00,DZBJA,36A,NA,9330848,FRMRS,Sol·licitada,14784,Marseille,Bejaia (ex Bougie),S,NA,38650-1,2022-09-29,2022-09-29T00:00:00Z,Singapur,CMA CGM IBERICA SAU,9V7920
2022,6817,MH,2022-09-29T22:00:00Z,TRF MOBILE,1152,274,https://www.marinetraffic.com/en/ais/details/ships/mmsi:538006545,TERMINALES QUIMICOS SA,22:02:00,2022-09-27T20:02:00Z,2022-09-27,2022-09-29T20:00:00Z,Tancs,22:00:00,SAYNB,32C,538006545,9732802,ITLIV,Iniciada,184,Livorno,Yanbu al-Bahr,I,NA,38516-1,2022-09-29,2022-09-27T22:02:00Z,Illes Marshall,IBERICA MARITIMA BARCELONA SA,V7OF7
2022,6995,MT,2022-09-29T07:59:00Z,CIELO DI CAPRI,1192,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:249435000,MEROIL SA,10:06:00,2022-09-28T08:06:00Z,2022-09-28,2022-09-29T05:59:00Z,Tancs,07:59:00,MTMLA,32G,249435000,9717278,PTSIE,Iniciada,18426,Sines,Malta (Valetta),I,NA,38895-1,2022-09-29,2022-09-28T10:06:00Z,Malta,A PEREZ Y CIA SL,9HA4243
2022,7083,BM,2022-09-29T20:00:00Z,LONDON EXPRESS,1363,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:310765000,APM TERMINALS BARCELONA  S L U,03:27:00,2022-09-29T01:27:00Z,2022-09-29,2022-09-29T18:00:00Z,Portacontenidors,20:00:00,ESVLC,24B,310765000,9143568,ITGOA,Iniciada,294,Genoa,Valencia,I,15-21,38920-1,2022-09-29,2022-09-29T03:27:00Z,Bermuda,HAPAG LLOYD SPAIN SL,ZCEV3
2022,7259,NL,2022-09-29T04:30:00Z,ANNELIESE ESSBERGER,74,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:244363000,TERMINALES PORTUARIAS SL,06:47:00,2022-09-28T04:47:00Z,2022-09-28,2022-09-29T02:30:00Z,Tancs,04:30:00,GRPER,32D,244363000,9295426,ESALG,Iniciada,115,Algeciras,Perama,I,1,38888-1,2022-09-29,2022-09-28T06:47:00Z,Països Baixos,IBERICA MARITIMA BARCELONA SA,PCFK
2022,7332,ES,2022-09-29T21:45:00Z,MARTIN I SOLER,57,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:224637000,BALEARIA EUROLINEAS MARITIMAS SA,19:00:00,2022-09-29T17:00:00Z,2022-09-29,2022-09-29T19:45:00Z,Transbordadors,21:45:00,ESALD,18A,224637000,9390367,ESALD,Autoritzada,165,Alcudia,Alcudia,A,1-4,38813-1,2022-09-29,2022-09-29T19:00:00Z,Espanya,BALEARIA EUROLINEAS MARITIMAS SA,EBZT
2022,7793,CY,2022-09-29T18:00:00Z,GUBAL TRADER,401,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:210117000,TERMINAL FERRY DE BARCELONA SRLU,08:00:00,2022-09-29T06:00:00Z,2022-09-29,2022-09-29T16:00:00Z,Transbordadors,18:00:00,ESIBZ,19A,210117000,7802794,ESPMI,Autoritzada,139,Palma de Mallorca,Ibiza,A,3-5,38660-1,2022-09-29,2022-09-29T08:00:00Z,Xipre,GRIMALDI LOGISTICA ESPAÑA SL,5BQV5
2022,7793,CY,2022-09-29T21:45:00Z,GOLDEN BRIDGE,69,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:209410000,TERMINAL FERRY DE BARCELONA SRLU,18:40:00,2022-09-29T16:40:00Z,2022-09-29,2022-09-29T19:45:00Z,Transbordadors,21:45:00,ESMAH,19B,209410000,8902345,ESIBZ,Autoritzada,187,Ibiza,Mahon Menorca,A,1-4,38842-1,2022-09-29,2022-09-29T18:40:00Z,Xipre,E ERHARDT Y CIA SA,5BCJ5
2022,7793,ES,2022-09-29T22:00:00Z,CIUDAD DE MAHON,55,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:224692000,TERMINAL FERRY DE BARCELONA SRLU,19:00:00,2022-09-29T17:00:00Z,2022-09-29,2022-09-29T20:00:00Z,Transbordadors,22:00:00,ESIBZ,18C,224692000,9398890,ESMAH,Autoritzada,155,Mahon Menorca,Ibiza,A,6-9,38700-1,2022-09-29,2022-09-29T19:00:00Z,Espanya,GRIMALDI LOGISTICA ESPAÑA SL,ECNO
2022,7793,ES,2022-09-29T22:45:00Z,CIUDAD DE PALMA,671,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:225307000,TERMINAL FERRY DE BARCELONA SRLU,19:00:00,2022-09-29T17:00:00Z,2022-09-29,2022-09-29T20:45:00Z,Transbordadors,22:45:00,ESPMI,19A,225307000,9349772,ESPMI,Autoritzada,186,Palma de Mallorca,Palma de Mallorca,A,2-5,38655-1,2022-09-29,2022-09-29T19:00:00Z,Espanya,GRIMALDI LOGISTICA ESPAÑA SL,EAMS
2022,7793,IT,2022-09-29T00:17:00Z,GNV SPIRIT,69,25,https://www.marinetraffic.com/en/ais/details/ships/mmsi:247438100,TERMINAL FERRY DE BARCELONA SRLU,19:00:00,2022-09-28T17:00:00Z,2022-09-28,2022-09-28T22:17:00Z,Transbordadors,00:17:00,ESPMI,20A,247438100,9198927,ESPMI,Finalitzada,204,Palma de Mallorca,Palma de Mallorca,F,1-5,38839-1,2022-09-29,2022-09-28T19:00:00Z,Itàlia,E ERHARDT Y CIA SA,IBIK
2022,7793,IT,2022-09-29T23:40:00Z,GNV SPIRIT,69,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:247438100,TERMINAL FERRY DE BARCELONA SRLU,17:00:00,2022-09-29T15:00:00Z,2022-09-29,2022-09-29T21:40:00Z,Transbordadors,23:40:00,ESPMI,20A,247438100,9198927,ESPMI,Autoritzada,204,Palma de Mallorca,Palma de Mallorca,A,1-5,38841-1,2022-09-29,2022-09-29T17:00:00Z,Itàlia,E ERHARDT Y CIA SA,IBIK
2022,7946,AG,2022-09-29T02:22:00Z,SLOMAN HERA,881,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:305850000,TRADEBE PORT SERVICES SL,07:11:00,2022-09-28T05:11:00Z,2022-09-28,2022-09-29T00:22:00Z,Tancs,02:22:00,FRSET,34B,305850000,9466714,ESCAS,Finalitzada,14515,Castellon de la Plana,Sete,F,1,38891-1,2022-09-29,2022-09-28T07:11:00Z,Antigua i Barbuda,BERGE MARITIMA SL,V2FY3
2022,7946,MT,2022-09-29T07:59:00Z,CIELO DI CAPRI,1192,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:249435000,TRADEBE PORT SERVICES SL,10:06:00,2022-09-28T08:06:00Z,2022-09-28,2022-09-29T05:59:00Z,Tancs,07:59:00,MTMLA,32G,249435000,9717278,PTSIE,Iniciada,18426,Sines,Malta (Valetta),I,NA,38895-1,2022-09-29,2022-09-28T10:06:00Z,Malta,A PEREZ Y CIA SL,9HA4243
2022,7946,MT,2022-09-29T12:00:00Z,CIELO DI CAPRI,1192,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:249435000,TRADEBE PORT SERVICES SL,08:00:00,2022-09-29T06:00:00Z,2022-09-29,2022-09-29T10:00:00Z,Tancs,12:00:00,MTMLA,32G,249435000,9717278,PTSIE,Iniciada,18426,Sines,Malta (Valetta),I,1,38895-2,2022-09-29,2022-09-29T08:00:00Z,Malta,A PEREZ Y CIA SL,9HA4243
2022,8156,IT,2022-09-29T00:36:00Z,CRUISE ROMA,7,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:247219400,GRIMALDI TERMINAL BARCELONA SL,21:44:00,2022-09-28T19:44:00Z,2022-09-28,2022-09-28T22:36:00Z,Transbordadors,00:36:00,ITCVV,21A,247219400,9351476,ITCVV,Finalitzada,254,Civitavecchia,Civitavecchia,F,4-8,38781-1,2022-09-29,2022-09-28T21:44:00Z,Itàlia,GRIMALDI LOGISTICA ESPAÑA SL,IBWO
2022,8156,IT,2022-09-29T05:00:00Z,ECO VALENCIA,72,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:247383300,GRIMALDI TERMINAL BARCELONA SL,01:00:00,2022-09-28T23:00:00Z,2022-09-29,2022-09-29T03:00:00Z,Ro-Ro,05:00:00,ESVLC,20D,247383300,9859533,ITSVN,Autoritzada,238,Savona,Valencia,A,2-6,38871-1,2022-09-29,2022-09-29T01:00:00Z,Itàlia,GRIMALDI LOGISTICA ESPAÑA SL,IBQD
2022,8156,IT,2022-09-29T19:00:00Z,ECO SAVONA,72,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:247383600,GRIMALDI TERMINAL BARCELONA SL,14:00:00,2022-09-29T12:00:00Z,2022-09-29,2022-09-29T17:00:00Z,Ro-Ro,19:00:00,ITSVN,20D,247383600,9859569,ESVLC,Autoritzada,238,Valencia,Savona,A,2-6,38867-1,2022-09-29,2022-09-29T14:00:00Z,Itàlia,GRIMALDI LOGISTICA ESPAÑA SL,IBZM
2022,8156,IT,2022-09-29T23:00:00Z,CRUISE BARCELONA,7,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:247243600,GRIMALDI TERMINAL BARCELONA SL,19:00:00,2022-09-29T17:00:00Z,2022-09-29,2022-09-29T21:00:00Z,Transbordadors,23:00:00,ITPTO,21A,247243600,9351488,ITCVV,Autoritzada,2538,Civitavecchia,Porto Torres,A,4-8,38772-1,2022-09-29,2022-09-29T19:00:00Z,Itàlia,GRIMALDI LOGISTICA ESPAÑA SL,IBWP
2022,8192,GR,2022-09-29T23:59:00Z,MARAN GAS AMORGOS,115,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:241746000,ENAGAS TRANSPORTE SAU,05:56:00,2022-09-29T03:56:00Z,2022-09-29,2022-09-29T21:59:00Z,Petroliers,23:59:00,NGBON,33C,241746000,9887217,ITLIV,Iniciada,2949,Livorno,Bonny,I,1,38893-1,2022-09-29,2022-09-29T05:56:00Z,Grècia,MARITIMA DEL MEDITERRANEO SA,SVDK8
2022,A,MT,2022-09-29T19:00:00Z,MEIN SCHIFF 2,8,42,https://www.marinetraffic.com/en/ais/details/ships/mmsi:248956000,ADOSSAT/TERMINAL A,06:45:00,2022-09-29T04:45:00Z,2022-09-29,2022-09-29T17:00:00Z,Passatge,19:00:00,ESIBZ,01D,248956000,9783576,ESVLC,Autoritzada,315,Valencia,Ibiza,A,31-37,36412-1,2022-09-29,2022-09-29T06:45:00Z,Malta,TUI ESPAÑA TURISMO SL,9HA4883
2022,C,NO,2022-09-29T18:00:00Z,VIKING SEA,63,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:258215000,ADOSSAT/TERMINAL C,07:45:00,2022-09-27T05:45:00Z,2022-09-27,2022-09-29T16:00:00Z,Passatge,18:00:00,FRMRS,01D,258215000,9725421,ESVLC,Iniciada,2283,Valencia,Marseille,I,17-21,35088-1,2022-09-29,2022-09-27T07:45:00Z,Noruega,A PEREZ Y CIA SL,LAWP7
2022,D,IT,2022-09-29T17:30:00Z,COSTA FORTUNA,82,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:247094800,ADOSSAT/TERMINAL D,11:30:00,2022-09-29T09:30:00Z,2022-09-29,2022-09-29T15:30:00Z,Passatge,17:30:00,FRMRS,01D,247094800,9239783,ITSVN,Autoritzada,2722,Savona,Marseille,A,10-15,35034-1,2022-09-29,2022-09-29T11:30:00Z,Itàlia,A PEREZ Y CIA SL,IBNY
2022,NA,MH,2022-09-29T07:59:00Z,FAIRCHEM ANGEL,1052,25,https://www.marinetraffic.com/en/ais/details/ships/mmsi:538008941,NA,21:22:00,2022-09-27T19:22:00Z,2022-09-27,2022-09-29T05:59:00Z,Tancs,07:59:00,NLRTM,90A,538008941,9809394,ITGOA,Iniciada,160,Genoa,Rotterdam,I,NA,38877-3,2022-09-29,2022-09-27T21:22:00Z,Illes Marshall,IBERICA MARITIMA BARCELONA SA,V7A2930
2022,NA,MH,2022-09-29T08:01:00Z,FAIRCHEM ANGEL,1052,25,https://www.marinetraffic.com/en/ais/details/ships/mmsi:538008941,NA,08:00:00,2022-09-29T06:00:00Z,2022-09-29,2022-09-29T06:01:00Z,Tancs,08:01:00,NLRTM,90A,538008941,9809394,ITGOA,Iniciada,160,Genoa,Rotterdam,I,NA,38877-4,2022-09-29,2022-09-29T08:00:00Z,Illes Marshall,IBERICA MARITIMA BARCELONA SA,V7A2930
2022,NA,PT,2022-09-29T06:59:00Z,SCALI DEL TEATRO,65,15,https://www.marinetraffic.com/en/ais/details/ships/mmsi:255805640,NA,20:18:00,2022-09-25T18:18:00Z,2022-09-25,2022-09-29T04:59:00Z,Petroliers,06:59:00,ESTAR,99B,255805640,9566289,FRLAV,Iniciada,875,Lavera,Tarragona,I,2-4,38799-1,2022-09-29,2022-09-25T20:18:00Z,Portugal,MH BLAND SL,CQJE
