ANYESCALA,TERMINALCODI,VAIXELLBANDERACODI,ETD,VAIXELLNOM,CALAT_METRES,MANEGA_METRES,MESINFO,TERMINALNOM,ETAHORA,ETAUTC,ETADIA,ETDUTC,VAIXELLTIPUS,ETDHORA,PORTDESTICODI,MOLLCODI,MMSI,IMO,PORTORIGENCODI,ESCALAESTAT,ESLORA_METRES,PORTORIGENNOM,PORTDESTINOM,ESTOPERATIUID,MOLLMODULS,ESCALANUM,ETDDIA,ETA,VAIXELLBANDERANOM,CONSIGNATARI,CALLSIGN
2021,B,BS,2022-09-25T18:00:00Z,WONDER OF THE SEAS,93,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:311001033,ADOSSAT/TERMINAL B,04:57:00,2022-09-25T02:57:00Z,2022-09-25,2022-09-25T16:00:00Z,Passatge,18:00:00,ESPMI,01D,311001033,9838345,ITNAP,Iniciada,362,Napoli,Palma de Mallorca,I,20-27,30201-1,2022-09-25,2022-09-25T04:57:00Z,Bahames,BALEARES CONSIGNATARIOS SL,C6EY2
2021,E,MT,2022-09-25T17:00:00Z,CELEBRITY CONSTELLATION,832,322,https://www.marinetraffic.com/en/ais/details/ships/mmsi:249046000,ADOSSAT/TERMINAL E,05:21:00,2022-09-25T03:21:00Z,2022-09-25,2022-09-25T15:00:00Z,Passatge,17:00:00,FRTLN,01D,249046000,9192399,ESPMI,Iniciada,294,Palma de Mallorca,Toulon,I,2-7,29321-1,2022-09-25,2022-09-25T05:21:00Z,Malta,BALEARES CONSIGNATARIOS SL,9HJB9
2022,0050,MH,2022-09-25T04:46:00Z,"NAVIN HARRIER",69,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:538007989,TRAFICO DE MERCANCIAS SA,14:45:00,2022-09-24T12:45:00Z,2022-09-24,2022-09-25T02:46:00Z,Granelers,04:46:00,FRCOZ,90A,538007989,9506409,ESLEI,Finalitzada,1128,Almeria,Caronte,F,NA,38887-1,2022-09-25,2022-09-24T14:45:00Z,Illes Marshall,ERSHIP SA,V7LK4
2022,2252,MT,2022-09-25T20:00:00Z,EVA DP,85,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:229424000,RECEPTORA DE LIQUIDOS SA,20:13:00,2022-09-23T18:13:00Z,2022-09-23,2022-09-25T18:00:00Z,Tancs,20:00:00,FRLAV,32E,229424000,9829772,ESTAR,Iniciada,120,Tarragona,Lavera,I,1,38672-1,2022-09-25,2022-09-23T20:13:00Z,Malta,IBERICA MARITIMA BARCELONA SA,9HA5490
2022,2398,CY,2022-09-25T22:15:00Z,HYPATIA DE ALEJANDRIA,679,256,https://www.marinetraffic.com/en/ais/details/ships/mmsi:209462000,TERMINAL PORT NOU SA,20:34:00,2022-09-24T18:34:00Z,2022-09-24,2022-09-25T20:15:00Z,Transbordadors,22:15:00,ESPMI,00A,209462000,9498755,ESPMI,Iniciada,18646,Palma de Mallorca,Palma de Mallorca,I,6-10,38573-1,2022-09-25,2022-09-24T20:34:00Z,Xipre,BALEARIA EUROLINEAS MARITIMAS SA,5BDE5
2022,2398,MT,2022-09-25T22:01:00Z,BAHAMA MAMA,55,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:248218000,TERMINAL PORT NOU SA,20:33:00,2022-09-24T18:33:00Z,2022-09-24,2022-09-25T20:01:00Z,Transbordadors,22:01:00,ESIBZ,30A,248218000,9441142,ESIBZ,Iniciada,15451,Ibiza,Ibiza,I,4-7,38679-1,2022-09-25,2022-09-24T20:33:00Z,Malta,BALEARIA EUROLINEAS MARITIMAS SA,9HA2263
2022,6037,MT,2022-09-25T12:01:00Z,IVYAN,67,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:215867000,DECAL ESPAÑA SA,13:20:00,2022-09-24T11:20:00Z,2022-09-24,2022-09-25T10:01:00Z,Tancs,12:01:00,ESVLC,32C,215867000,9879088,ITGOA,Iniciada,10998,Genoa,Valencia,I,1,38886-1,2022-09-25,2022-09-24T13:20:00Z,Malta,IBERICA MARITIMA BARCELONA SA,9HA5340
2022,6212,HK,2022-09-25T20:00:00Z,MAERSK ARUN,952,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:477958700,TERMINAL CATALUNYA SA,22:10:00,2022-09-24T20:10:00Z,2022-09-24,2022-09-25T18:00:00Z,Portacontenidors,20:00:00,DZALG,36A,477958700,9175779,MAPTM,Iniciada,155,Tanger Med,Alger (Algiers),I,19-22,38373-1,2022-09-25,2022-09-24T22:10:00Z,Hong Kong,MARITIMA DEL MEDITERRANEO SA,VRDG5
2022,6212,LR,2022-09-25T05:41:00Z,MSC SAO PAULO,1302,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:636016492,TERMINAL CATALUNYA SA,16:13:00,2022-09-24T14:13:00Z,2022-09-24,2022-09-25T03:41:00Z,Portacontenidors,05:41:00,GRPIR,36A,636016492,9147071,ESVLC,Finalitzada,294,Valencia,Piraeus,F,12-18,38368-1,2022-09-25,2022-09-24T16:13:00Z,Libèria,MEDITERRANEAN SHIPPING COM ESPAÑA SLU,D5GL3
2022,6212,LR,2022-09-25T19:00:00Z,CONTSHIP RAY,85,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:636017852,TERMINAL CATALUNYA SA,06:00:00,2022-09-25T04:00:00Z,2022-09-25,2022-09-25T17:00:00Z,Càrrega (Lo-Lo),19:00:00,DZALG,36A,636017852,9388338,FRMRS,Sol·licitada,14783,Marseille,Alger (Algiers),S,NA,38351-1,2022-09-25,2022-09-25T06:00:00Z,Libèria,CMA CGM IBERICA SAU,D5MZ8
