ANYESCALA,TERMINALCODI,VAIXELLBANDERACODI,ETD,VAIXELLNOM,CALAT_METRES,MANEGA_METRES,MESINFO,TERMINALNOM,ETAHORA,ETAUTC,ETADIA,ETDUTC,VAIXELLTIPUS,ETDHORA,PORTDESTICODI,MOLLCODI,MMSI,IMO,PORTORIGENCODI,ESCALAESTAT,ESLORA_METRES,PORTORIGENNOM,PORTDESTINOM,ESTOPERATIUID,MOLLMODULS,ESCALANUM,ETDDIA,ETA,VAIXELLBANDERANOM,CONSIGNATARI,CALLSIGN
2021,B,MT,2022-08-31T12:30:00Z,CELEBRITY EDGE,823,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:248325000,ADOSSAT/TERMINAL B,08:00:00,2022-08-31T06:00:00Z,2022-08-31,2022-08-31T10:30:00Z,Passatge,12:30:00,ESPMI,01D,248325000,9812705,FRAJA,Autoritzada,306,Ajaccio,Palma de Mallorca,A,23-29,29504-1,2022-08-31,2022-08-31T08:00:00Z,Malta,BALEARES CONSIGNATARIOS SL,9HA4612
2021,B,MT,2022-08-31T19:00:00Z,CELEBRITY EDGE,823,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:248325000,ADOSSAT/TERMINAL B,12:31:00,2022-08-31T10:31:00Z,2022-08-31,2022-08-31T17:00:00Z,Passatge,19:00:00,ESPMI,01D,248325000,9812705,FRAJA,Autoritzada,306,Ajaccio,Palma de Mallorca,A,23-29,29504-2,2022-08-31,2022-08-31T12:31:00Z,Malta,BALEARES CONSIGNATARIOS SL,9HA4612
2022,0014,LV,2022-08-31T16:00:00Z,MOONRAY,37,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:275488000,COMA Y RIBAS SL,07:43:00,2022-08-31T05:43:00Z,2022-08-31,2022-08-31T14:00:00Z,Càrrega (Lo-Lo),16:00:00,ESALD,23A,275488000,9234410,ESALD,Iniciada,88,Alcudia,Alcudia,I,2-3,38114-1,2022-08-31,2022-08-31T07:43:00Z,Letònia,TRANSITAINER SA,YLOU
2022,0014,PA,2022-08-31T20:00:00Z,AK BEAUTY,755,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:352978245,COMA Y RIBAS SL,16:44:00,2022-08-27T14:44:00Z,2022-08-27,2022-08-31T18:00:00Z,Càrrega (Lo-Lo),20:00:00,ESTAR,22C,352978245,9331804,TRMER,Iniciada,1133,Mersin,Tarragona,I,5-7,37994-1,2022-08-31,2022-08-27T16:44:00Z,Panamà,COMA Y RIBAS SL,3E3358
2022,2252,MT,2022-08-31T02:36:00Z,TOMMASO S,745,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:249209000,RECEPTORA DE LIQUIDOS SA,04:47:00,2022-08-30T02:47:00Z,2022-08-30,2022-08-31T00:36:00Z,Tancs,02:36:00,ESLPA,32G,249209000,9393395,FRLAV,Finalitzada,11526,Lavera,Las Palmas,F,1,38002-1,2022-08-31,2022-08-30T04:47:00Z,Malta,IBERICA MARITIMA BARCELONA SA,9HNE9
2022,2256,SG,2022-08-31T12:00:00Z,IMOGEN,1054,298,https://www.marinetraffic.com/en/ais/details/ships/mmsi:563108700,ERGRANSA SA,11:46:00,2022-08-26T09:46:00Z,2022-08-26,2022-08-31T10:00:00Z,Granelers,12:00:00,ZZZZZ,22B,563108700,9884370,DKFRC,Iniciada,17997,Fredericia,Desconegut,I,1-4,37936-1,2022-08-31,2022-08-26T11:46:00Z,Singapur,ALFASHIP MARITIME SERVICES SL,9V6601
2022,2376,MH,2022-08-31T22:00:00Z,BEKS NAZIK,13,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:538004296,PORTCEMEN SA,20:52:00,2022-08-28T18:52:00Z,2022-08-28,2022-08-31T20:00:00Z,Granelers,22:00:00,CMDLA,22C,538004296,9625803,GBPTB,Iniciada,190,Port Talbot,Douala,I,1-4,38066-1,2022-08-31,2022-08-28T20:52:00Z,Illes Marshall,COMA Y RIBAS SL,V7WG7
2022,2398,CY,2022-08-31T22:15:00Z,HYPATIA DE ALEJANDRIA,679,256,https://www.marinetraffic.com/en/ais/details/ships/mmsi:209462000,TERMINAL PORT NOU SA,19:30:00,2022-08-31T17:30:00Z,2022-08-31,2022-08-31T20:15:00Z,Transbordadors,22:15:00,ESPMI,01D,209462000,9498755,ESPMI,Autoritzada,18646,Palma de Mallorca,Palma de Mallorca,A,1-4,38035-1,2022-08-31,2022-08-31T19:30:00Z,Xipre,BALEARIA EUROLINEAS MARITIMAS SA,5BDE5
2022,2398,ES,2022-08-31T21:45:00Z,ABEL MATUTES,63,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:224402000,TERMINAL PORT NOU SA,19:00:00,2022-08-31T17:00:00Z,2022-08-31,2022-08-31T19:45:00Z,Transbordadors,21:45:00,ESALD,00A,224402000,9441130,ESALD,Autoritzada,190,Alcudia,Alcudia,A,6-10,38029-1,2022-08-31,2022-08-31T19:00:00Z,Espanya,BALEARIA EUROLINEAS MARITIMAS SA,ECPD
2022,6037,LR,2022-08-31T02:21:00Z,CONTI BENGUELA,1132,274,https://www.marinetraffic.com/en/ais/details/ships/mmsi:636091569,DECAL ESPAÑA SA,03:20:00,2022-08-30T01:20:00Z,2022-08-30,2022-08-31T00:21:00Z,Tancs,02:21:00,ZZZZZ,32A,636091569,9391373,ESTAR,Finalitzada,18432,Tarragona,Desconegut,F,1,37922-1,2022-08-31,2022-08-30T03:20:00Z,Libèria,ALFASHIP MARITIME SERVICES SL,A8PL7
2022,6154,JP,2022-08-31T16:00:00Z,EURASIAN HIGHWAY,1002,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:432839000,AUTOTERMINAL SA,01:40:00,2022-08-30T23:40:00Z,2022-08-31,2022-08-31T14:00:00Z,Car-carrier,16:00:00,BEANR,31A,432839000,9604938,GRPIR,Iniciada,19997,Piraeus,Anvers,I,2-6,37775-1,2022-08-31,2022-08-31T01:40:00Z,Japó,BERGE MARITIMA SL,7JKY
2022,6154,MT,2022-08-31T21:00:00Z,NEPTUNE KEFALONIA,872,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:215588000,AUTOTERMINAL SA,03:00:00,2022-08-31T01:00:00Z,2022-08-31,2022-08-31T19:00:00Z,Car-carrier,21:00:00,ESVLC,31A,215588000,9438717,FRSET,Sol·licitada,16959,Sete,Valencia,S,NA,37868-1,2022-08-31,2022-08-31T03:00:00Z,Malta,NEPTUNE BARCELONA SA,9HA2117
2022,6212,FR,2022-08-31T14:00:00Z,CMA CGM EVERGLADE,16,51,https://www.marinetraffic.com/en/ais/details/ships/mmsi:228410600,TERMINAL CATALUNYA SA,12:04:00,2022-08-29T10:04:00Z,2022-08-29,2022-08-31T12:00:00Z,Portacontenidors,14:00:00,FRFOS,36A,228410600,9894985,ESVLC,Iniciada,366,Valencia,Fos-sur-Mer,I,12-20,36427-1,2022-08-31,2022-08-29T12:04:00Z,França,CMA CGM IBERICA SAU,FMPS
2022,6212,HK,2022-08-31T08:00:00Z,SAFMARINE NAKURU,114,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:477552900,TERMINAL CATALUNYA SA,18:00:00,2022-08-30T16:00:00Z,2022-08-30,2022-08-31T06:00:00Z,Portacontenidors,08:00:00,ESALG,36A,477552900,9356103,FRFOS,Autoritzada,21054,Fos-sur-Mer,Algeciras,A,21-25,37596-1,2022-08-31,2022-08-30T18:00:00Z,Hong Kong,MARITIMA DEL MEDITERRANEO SA,VRKZ8
2022,6212,LR,2022-08-31T05:30:00Z,CONTSHIP MAX,88,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:636017374,TERMINAL CATALUNYA SA,01:09:00,2022-08-30T23:09:00Z,2022-08-31,2022-08-31T03:30:00Z,Portacontenidors,05:30:00,DZSKI,36A,636017374,9347786,ESVLC,Iniciada,139,Valencia,Skikda (ex Philippeville),I,22-25,37851-1,2022-08-31,2022-08-31T01:09:00Z,Libèria,MEDITERRANEAN SHIPPING COM ESPAÑA SLU,D5EL7
2022,6212,LR,2022-08-31T14:45:00Z,MSC APOLLINE,165,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:636020542,TERMINAL CATALUNYA SA,23:31:00,2022-08-27T21:31:00Z,2022-08-27,2022-08-31T12:45:00Z,Portacontenidors,14:45:00,ESVLC,36A,636020542,9896983,ITGIT,Iniciada,39977,Gioia Tauro,Valencia,I,4-11,37434-1,2022-08-31,2022-08-27T23:31:00Z,Libèria,MEDITERRANEAN SHIPPING COM ESPAÑA SLU,D5ZR3
2022,6212,PT,2022-08-31T01:20:00Z,MSC ANNE F,88,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:255806190,TERMINAL CATALUNYA SA,09:24:00,2022-08-30T07:24:00Z,2022-08-30,2022-08-30T23:20:00Z,Portacontenidors,01:20:00,DZAAE,36A,255806190,9347803,ESVLC,Finalitzada,13914,Valencia,Annaba (ex Bone),F,26-29,38050-1,2022-08-31,2022-08-30T09:24:00Z,Portugal,MEDITERRANEAN SHIPPING COM ESPAÑA SLU,CQAJ4
2022,6212,SG,2022-08-31T08:00:00Z,ATLANTIC MERCHANT,851,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:563143700,TERMINAL CATALUNYA SA,02:32:00,2022-08-31T00:32:00Z,2022-08-31,2022-08-31T06:00:00Z,Portacontenidors,08:00:00,MAPTM,36A,563143700,9378929,FRMRS,Iniciada,1478,Marseille,Tanger Med,I,26-29,37713-1,2022-08-31,2022-08-31T02:32:00Z,Singapur,CMA CGM IBERICA SAU,9V7597
2022,6693,MT,2022-08-31T06:32:00Z,MED ARCTIC,724,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:248054000,BUNGE IBERICA SA,01:47:00,2022-08-29T23:47:00Z,2022-08-30,2022-08-31T04:32:00Z,Tancs,06:32:00,ESCAR,23A,248054000,9410545,ESCEU,Finalitzada,1239,Ceuta,Cartagena,F,1-3,38065-1,2022-08-31,2022-08-30T01:47:00Z,Malta,ALFASHIP MARITIME SERVICES SL,9HA2147
2022,6995,MT,2022-08-31T19:00:00Z,OZDEN-S,63,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:215253000,MEROIL SA,20:29:00,2022-08-30T18:29:00Z,2022-08-30,2022-08-31T17:00:00Z,Tancs,19:00:00,ESBCN,32F,215253000,9338735,ESBCN,Fondeig Previ,1055,Barcelona,Barcelona,P,1,38176-1,2022-08-31,2022-08-30T20:29:00Z,Malta,E ERHARDT Y CIA SA,9HA5030
2022,7083,DZ,2022-08-31T20:00:00Z,DJANET,95,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:605086090,APM TERMINALS BARCELONA  S L U,07:26:00,2022-08-31T05:26:00Z,2022-08-31,2022-08-31T18:00:00Z,Portacontenidors,20:00:00,ITMDC,24B,605086090,9845063,DZSKI,Iniciada,1719,Skikda (ex Philippeville),Marina di Carrara,I,15-19,37226-1,2022-08-31,2022-08-31T07:26:00Z,Algèria,TRANSPORTES CONSIGNACION MARITIMAS SA,7THR
2022,7083,MT,2022-08-31T14:00:00Z,ATLANTIC GREEN,871,NA,NA,APM TERMINALS BARCELONA  S L U,00:08:00,2022-08-30T22:08:00Z,2022-08-31,2022-08-31T12:00:00Z,Portacontenidors,14:00:00,ESVLC,24A,NA,9354404,TRALI,Iniciada,13444,Aliaga,Valencia,I,2-4,37641-1,2022-08-31,2022-08-31T00:08:00Z,Malta,CMA CGM IBERICA SAU,9HA4065
2022,7083,PT,2022-08-31T23:00:00Z,ANNAMARIE,746,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:255805627,APM TERMINALS BARCELONA  S L U,10:00:00,2022-08-31T08:00:00Z,2022-08-31,2022-08-31T21:00:00Z,Portacontenidors,23:00:00,ESVLC,24X,255805627,9287687,ESVLC,Autoritzada,1375,Valencia,Valencia,A,NA,38047-1,2022-08-31,2022-08-31T10:00:00Z,Portugal,A PEREZ Y CIA SL,CQFZ
2022,7332,CY,2022-08-31T16:30:00Z,CECILIA PAYNE,339,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:209122000,BALEARIA EUROLINEAS MARITIMAS SA,14:30:00,2022-08-31T12:30:00Z,2022-08-31,2022-08-31T14:30:00Z,Transbordadors,16:30:00,ESQIU,17B,209122000,9188881,ESQIU,Autoritzada,87,Ciudadela,Ciudadela,A,1-2,38014-1,2022-08-31,2022-08-31T14:30:00Z,Xipre,BALEARIA EUROLINEAS MARITIMAS SA,C4HR2
